# This Arabidopsis expression dataset was taken from the functional genomics expression project, 
# Low temperature regulatory circuits and gene regulons in higher plants (Michael Tomashow's group),
# http://arabidopsis.org/info/expression/index.html

# Columns of this dataset are:
# Arabidopsis locus id	time_point_1	time_point_2	time_point_3	time_point_4	# time_point_5	time_point_6	
#
At4g14440	0.03	-0.62	-0.78	0.58	-1.55	-0.55
At4g14680	0.58	-0.63	1.2	-1.43	-1.55	-1.67
At4g14880	-1.25	-1.2	-0.67	-1.28	-1.45	-1.4
At4g14910	0.7	1.25	0.6	-0.03	-1.4	-1
At4g15440	-0.65	-0.05	0.7	0	-2.1	-2.55
At4g16130	0.03	0.5	-1.15	-0.38	-2.05	-1.5
At4g16210	-0.78	-0.62	-1.3	-1.6	-1.62	0.05
At4g16330	0.1	-1.25	-1.5	-1.8	-1.35	-1.15
At4g16820	0	1.28	0.78	-0.05	1.4	1.42
At4g17090	0.68	1.78	3.1	4.35	3.95	3.17
At4g17090	1.47	1.62	4.4	7.85	6.45	3.4
At4g17090	1.55	1.28	2.95	4.5	4.3	2.1
At4g17190	-1.5	-0.05	-0.05	-1.82	-2.1	-1.3
At4g17300	0.35	0.38	-0.7	-0.12	-0.15	-2.4
At4g17300	1.3	-0.03	0.58	0.65	0.83	-0.78
At4g17770	-0.82	-0.03	-0.05	1.12	-0.55	1.5
At4g18350	1.13	0.5	-0.7	-0.6	0.02	0.7
At4g18360	-0.88	-0.5	-0.33	-0.68	-1.22	1
At4g18550	1.33	1.68	1.15	1.35	0.57	0.05
At4g19010	0.15	1.6	0.82	1.45	1.65	1.67
At4g19020	-0.65	-1.45	-1.85	-1.87	-1.85	-1.97
At4g20320	1.38	0.2	1.53	2.02	-1.72	-1.77
At4g20380	-1.33	-1.05	0.03	-1.2	-1.15	0
At4g20460	-0.25	1.57	0.58	1.45	0	1.97
At4g21610	-0.93	1.38	0.05	-0.87	-1.47	0.05
At4g22340	0.05	0.55	-1.25	-1.58	0	-1.25
At4g22590	0.2	0.95	2.47	5.53	3.32	2.22
At4g22880	-0.03	-1.22	0.05	1.15	-1.6	-1.78
At4g23100	-1.2	-0.65	-1.13	-1.2	-1.75	-1.32
At4g23590	0.72	1.48	0.88	0.03	0.07	0.65
At4g23600	1.55	1.2	0.1	1.2	1.77	1.6
At4g24040	-0.6	-0.67	-0.45	-0.7	2.2	1.97
At4g24620	0.6	0.6	0.6	-0.58	-1.28	-1.25
At4g24650	-0.05	-0.05	0.03	-0.2	-0.58	0.03
At4g24830	1.25	0.05	1.25	0.12	0.03	-0.87
At4g25000	-0.1	-1.3	0.07	-0.78	-0.53	-0.55
At4g25420	0	1.35	0.15	1.62	1.72	1.85
At4g25700	1.15	-0.53	1.08	1.3	-0.03	-2.97
At4g25970	-0.75	-0.7	-0.72	-0.12	-1.28	-0.57
At4g26140	-0.15	1.28	-0.05	0.75	0.03	0.03
At4g26200	1.2	1.75	1.43	-1.47	-0.12	-0.05
At4g26220	0.1	4.32	1	1.93	-2.6	0.95
At4g26300	0.03	0.1	-1.1	-0.55	-0.03	0.55
At4g26390	0.03	-0.68	-0.68	-0.1	-0.03	-0.17
At4g26510	-0.75	0.12	-0.5	0.6	1.8	0.68
At4g26510	1.28	0.68	0.7	1.32	2.07	1.48
At4g26520	1.38	0.03	-0.6	-1.22	-1.22	-1.57
At4g26770	1.2	1.3	0.68	1.4	0.18	0.1
At4g26870	-1.1	-1.15	-1.22	-1.42	-1.3	-1.3
At4g26910	-1.7	-1.6	-1.52	-1.52	-1.35	-1.25
At4g26970	-1.58	-1.15	-0.73	-1.32	-1.45	-1.2
At4g27070	0.08	0.08	0.05	-1.43	-2.02	-1.7
At4g27250	0.05	1.43	1.28	-1	1.43	-0.55
At4g27440	-0.07	-0.62	-0.62	-0.7	1.47	1.72
At4g27550	0.18	0.5	-0.07	0.75	0.62	0.9
At4g28120	0.03	0.12	0.03	-0.15	-0.05	0.1
At4g28420	0.1	1.25	1.3	1.4	1.5	1.18
At4g29570	-0.12	0.02	-0.65	-0.65	-1.15	-0.12
At4g29580	-0.85	0.18	0.35	0.28	0.9	0.03
At4g29840	0.05	0.03	1.25	1.4	1.58	1.15
At4g30000	-1.15	0	-0.1	-0.7	-1.2	-1.22
At4g31790	1.33	0.05	0.13	1.77	2.53	0.93
At4g31990	-1.22	-1.1	-1.3	-1.22	-1.08	1.65
At4g32520	1.55	1.25	1.25	1.4	2.07	2.05
At4g32540	-0.12	0.08	0.62	-0.07	0.72	-1.27
At4g33150	0.65	0.75	-0.68	-1.93	-2.73	-0.47
At4g33360	-1.83	-0.12	-1.2	-1.2	-1.38	-1.27
At4g33510	-0.65	-1.2	-0.68	-0.6	-0.68	-1.53
At4g33580	-0.22	1.32	0.53	0.55	-1.3	-0.65
At4g34030	-0.62	-0.53	-1.25	-1.68	-2.95	-1.8
At4g34050	0.05	1.13	0	1.17	-1.22	0.8
At4g34200	-1.25	-0.55	-0.05	-0.68	-1.32	1.2
At4g34570	-1.4	-1.85	-1.8	-1.72	-2.05	-1.48
At4g34740	0.57	-0.6	1.62	2.47	3.63	1.67
At4g34850	-1.57	-0.6	0	0.02	-0.65	0.07
At4g34860	-0.68	1.28	1.47	0.88	0.88	-0.68
At4g34880	-1.25	-0.12	-0.72	-0.58	-0.2	-0.65
At4g34890	-0.7	-0.05	-1.33	-1.65	-1.6	-1.35
At4g34900	-1.1	-1.33	-1.47	-1.3	1.3	2.47
At4g34900	-0.03	0.2	-0.7	-0.93	-0.7	1.35
At4g34920	-0.05	-0.78	-1.95	-2.05	-2.3	-1.95
At4g34920	1.1	0	-1.65	-1.87	-1.87	-1.97
At4g35010	-1.35	-1.45	-1.38	-1.27	-1.4	-1.4
At4g35090	0.47	-0.55	0	0	-1.3	-2.7
At4g35420	-1.02	-0.9	-2.45	-2.5	-2.5	-1.93
At4g35460	0.12	1.25	1.1	1.17	1.8	1.5
At4g35630	-1.35	-1.18	-1.12	-1.18	-1.32	-0.58
At4g35830	-1.17	-1.05	-1.2	-1.28	-1.28	-1.13
At4g36360	0	1.1	1.13	1.9	1.4	0
At4g37470	0	-0.1	-0.03	0	0.63	0.82
At4g37760	0	0.03	1.45	2.5	1.8	-1.23
At4g37770	0.17	0.55	1.02	1.9	2.85	1.8
At4g37930	0.3	-0.05	-1.05	-0.53	-1.2	-1.28
At4g38570	-1.23	1.05	-1.35	-2.08	-1.58	-1.5
At4g38880	-0.53	-0.12	-0.82	-1.45	-0.03	0
At4g38970	0.32	-1.17	-1.18	-1.1	-1.3	-1.6
At4g39210	1.35	-0.2	-0.75	-0.1	1.55	2.2
At4g39280	0	-1.15	-0.63	0.05	1.35	1.3
At4g39540	0.7	0.55	-12.72	-1.15	-1.3	-1.28
At4g39950	0	0.68	1.3	-2.32	-3.9	0
At4g39950	0.5	1.3	2.07	-1.58	-2.45	1
At4g39980	-0.28	0.55	1.08	-0.1	-1.4	-1.55
At4g39980	0.67	0.1	0.8	0.07	-0.72	-1.33
At5g03650	0.7	-0.6	-0.68	-0.62	-1.3	-1.32
At5g04230	0.12	0.67	1.2	-0.55	-0.15	0.62
At5g04590	1.12	0	0.53	-0.58	-0.55	0.05
At5g05690	0.05	-0.03	-1.35	-1.53	-1.18	-1.3
At5g05730	-1.8	-1.8	-1.62	-2.08	-2.8	-3.05
At5g07360	-0.03	-0.6	-1.55	-1.42	-1.62	-1.4
At5g08280	1.3	0	0.05	0.05	0.1	-1.3
At5g08640	1.4	2.08	2.85	4.75	3.35	3.2
At5g10870	-1.47	-1.4	-1.62	-1.97	-2.03	-1.33
At5g10920	1.4	0.1	0.05	0	0.9	2.07
At5g13110	1.05	1.22	1.1	1.15	-0.05	-1.18
At5g13280	0.67	-0.53	-1.18	-1.22	-1.2	-2.23
At5g13630	0.1	-1.23	-1.08	1.08	1.15	1.35
At5g13930	0.2	1.42	1.55	2.35	4.12	2.62
At5g14740	1.15	-0.05	0.5	-1.13	-2.7	-5.82
At5g16390	-1.1	-0.72	-0.12	-0.92	-1.33	-1.4
At5g17230	1.18	-1.1	1.1	1.53	0	-1.28
At5g17330	-1.32	3.8	5.35	4.03	-0.32	1.65
At5g17990	0.1	-1.55	-1.88	-2.55	-2	-2.05
At5g18070	0.55	0.65	-0.03	0.1	1.38	1.88
At5g19220	-1.03	-0.53	0.05	0	1.25	1.67
At5g19530	-0.78	0.55	1.4	1.88	2.88	2.02
At5g20830	-0.75	0	2.57	6.07	18.25	8.08
At5g20960	-1.57	-0.53	-0.65	-0.05	-1.7	-1.4
At5g20980	1.28	0.65	-0.7	0.72	-0.68	-0.68
At5g23300	1.5	2.2	1.85	1.95	3.48	0.02
At5g24140	-0.75	1.4	1.03	1.95	0.13	0.67
At5g24150	0.17	0	-0.05	-0.77	-3.5	-3.78
At5g24160	-0.05	-0.05	-0.23	-1.4	-5.62	-5.9
At5g25900	-1.55	-1.2	-1.65	-1.97	-2.65	-1.82
At5g26140	-0.7	-1.55	-1.33	-1.55	-1.23	-1.5
At5g26780	1.25	1.45	0.07	0.55	0.05	1.47
At5g26830	-1.57	-1.3	-1.48	-0.75	-0.05	-0.6
At5g26830	-0.03	0	-0.05	0.15	1.58	1.35
At5g27380	-1.15	-0.6	-1.1	-1.2	-1.45	-1.13
At5g27450	0.72	1.3	0.72	-0.05	-1.35	-1.55
At5g27470	-0.05	-0.55	-0.58	-0.08	0.58	-1.18
At5g28020	-0.78	-0.08	-1.4	-1.35	-1.65	0.57
At5g28360	0.65	0.72	-0.07	0.18	0.12	-0.05
At5g28360	0.7	-0.02	1.22	0.05	1.73	-0.02
At5g35360	-0.53	-0.05	-1.33	-1.13	-1.3	-1.13
At5g35790	-1.18	-0.62	-1.65	-2.62	-2.22	-2.17
At5g35790	-1.07	-1.2	-1.55	-2.5	-2.55	-2.6
At5g38410	0.97	-0.7	-0.65	-1.2	-1.25	-1.15
At5g40760	-0.68	0	-1.25	-0.62	-1.22	1.5
At5g42650	0.67	0.72	1.45	1.53	-1.85	-0.73
At5g42740	-0.55	-0.18	-0.6	-0.68	-1.22	0.03
At5g42800	0.12	0.17	0.12	0	-0.67	0.78
At5g43780	-1.2	1.15	-0.67	0.67	-1.08	0.27
At5g47770	1.33	0.6	0.7	-0.7	-1.65	-0.68
At5g48880	-0.15	1.1	0.85	1.7	3.35	1.85
At5g49160	-0.47	-1.18	-1.33	-2.15	-2.43	1.18
At5g49190	-1.17	-1.13	-0.53	-0.05	-1.43	-0.53
At5g51460	-0.8	0	1.97	3.15	0.9	-2.45
At5g51460	-0.03	0.03	2.32	3.8	1.72	-2.03
At5g54080	-1.28	-1.23	-1.72	-2.65	-2.15	-1.97
At5g54190	0.82	0.1	1.55	2.12	1.53	1.82
At5g54810	0.63	-0.73	-0.1	-0.78	-0.67	-0.15
At5g55070	-0.52	-0.05	-0.65	0.22	1.53	1.6
At5g57030	-0.08	-1.13	-1.3	-1.45	-1.22	-0.85
At5g58670	-0.95	0.95	0.2	2.8	3.7	0.57
At5g59440	1.25	1.25	0.03	-1.55	-2.1	-2.1
At5g62790	-0.1	0	1.15	-1.1	-1.2	-1.15
At5g63570	0.1	-0.1	-0.7	-1.28	-0.67	-0.62
At5g65750	-1.22	-1.28	-2.32	-0.5	-2.35	-2.15
At5g65750	-0.08	-1.22	-1.6	-1.78	-1.95	-1.97
At5g65800	-0.18	-0.3	0	0.15	-0.3	0.03
At5g66760	0.6	1.33	1.3	1.88	2.43	1.8
At1g01480	-1.3	0.6	0.82	-0.02	-0.12	-0.62
At1g01480	-0.6	0.03	0.78	0.17	-1.2	-0.25
At1g02050	1.45	-0.75	-0.28	-1.38	-1.38	-0.7
At1g02500	-0.07	-1.18	-0.72	-1.33	-2	-2.28
At1g03040	-0.77	-1.25	-1.45	-0.6	-0.65	0.08
At1g03090	0.15	0.22	-0.03	-1.8	-2.75	-1.33
At1g03310	-0.07	-1.18	-1.47	-1.47	-2.6	-1.5
At1g03630	0.05	-1.05	-1.2	-1.35	-1.85	-1.55
At1g04710	-1.22	-0.6	-0.68	-1.25	-1.43	-0.03
At1g06570	-0.57	-0.1	-0.65	1.35	0.67	-0.58
At1g07110	0.02	-1.1	-1.15	-1.2	-0.6	1.35
At1g07780	-1.5	-0.68	-1.1	-0.7	1.43	0
At1g07780	-0.85	-0.7	-0.7	-0.72	1.3	1.4
At1g08550	-0.72	0	0.1	0.65	1.65	0.72
At1g09390	0.88	0.85	1	-0.78	-2.07	-1.72
At1g09420	0.05	-0.2	-1.6	-1.9	-1.95	-1.35
At1g09780	0	0.15	1.3	1.62	2.23	3.4
At1g09830	-0.53	-0.72	0.03	0.03	1.57	1.45
At1g09830	0.5	0.03	-0.07	-0.1	0.67	0.75
At1g09940	0.3	1.6	1.68	1.1	1.15	1.15
At1g10740	1.25	0	1.2	1.4	0.55	-1.1
At1g11720	-0.03	0.03	-1.1	-1.12	-2.63	-2.1
At1g11840	-0.83	-0.1	-1.1	0.05	0	1.4
At1g11860	1.1	1	-0.03	-1.15	-1.97	-2.15
At1g11870	0.72	-0.57	-0.03	-0.67	-0.07	-1.57
At1g12050	1.18	-0.67	-1.45	-1.25	-1.13	1.08
At1g12240	0.03	0.62	-0.68	-1.45	-2.1	-2.22
At1g14090	-1.53	-1.53	-1.25	-1.45	-0.7	-1.55
At1g15080	-0.12	0.7	-0.13	1.4	1.72	0.5
At1g15110	0.82	1.12	0.77	-0.75	-1.92	-0.78
At1g15550	-0.1	1.62	-1.8	-1.95	1.9	0.88
At1g16300	1.03	1.3	2.1	1.9	1.22	2.02
At1g16350	1.15	1.22	0.03	-1.33	-0.6	-1.3
At1g17420	1.55	2.38	3.55	1.32	-4.3	-2.92
At1g18640	1.4	0	-0.55	-1.15	-1.52	-1.47
At1g21400	0.67	0.18	-0.95	-0.72	-0.65	1.22
At1g22650	0.67	0	0.05	-0.38	-0.55	-0.2
At1g22940	-0.32	-1.15	-0.05	-0.75	-0.62	0
At1g23190	-1.2	0.53	-1.3	-1.15	0.03	1.35
At1g23190	-0.75	-0.05	-1.13	-0.05	0.58	1.5
At1g23730	0.88	-0.82	-1.08	-1	-0.78	-1.7
At1g23820	-1.15	-1.1	-0.1	-1.25	-1.32	-1.53
At1g23820	-0.07	-0.6	-0.55	-0.58	-0.85	-0.7
At1g24280	0.1	1.15	1.33	1.2	-1.35	1.25
At1g27680	0	-0.65	-1.82	-1.35	-0.57	-0.1
At1g28670	-0.65	-1.38	-0.63	-3.8	-4.2	-2.37
At1g29410	0.53	0.72	0.3	0.68	2.2	1.92
At1g29880	0.5	-1.15	-1.1	-0.55	0.53	-1.35
At1g29900	0.15	-1.18	-1.2	-1.1	-0.03	-1.4
At1g30620	0.15	1.15	1.5	1.85	2.32	1.4
At1g31070	-0.7	0.6	0.07	1.35	1.33	-0.85
At1g31180	-1.2	-1.25	-1.15	-1.23	0.12	-1.37
At1g31220	-0.5	-0.07	-0.93	-0.72	-0.95	-0.72
At1g31860	-0.05	0.62	0.1	0.13	0.15	-0.17
At1g32060	0.22	-1.25	-1.18	-1.2	-1.5	-1.57
At1g32200	0.5	-0.02	0.03	-0.58	-0.6	-1.67
At1g36160	-0.6	0.05	0.05	1.15	-0.55	-1.4
At1g36180	0.03	-0.07	-0.65	-0.62	-0.62	1.45
At1g42970	0.03	-1.18	-0.55	-1.1	-1.42	-1.53
At1g42970	0.6	-0.72	-0.55	-0.62	-1.57	-1.65
At1g49390	-0.03	1.3	-0.03	1.38	1.4	1.78
At1g49430	0.68	0.7	0.1	0.15	0.05	0.07
At1g50200	-0.75	0	-0.62	-0.53	-0.62	-1.45
At1g50200	-0.6	-0.03	-0.1	-0.65	-1.28	-1.45
At1g50430	-1.37	-1.45	-1.42	-1.75	-1.53	-1.38
At1g51260	-1.65	-1.75	-2.2	-0.75	0	0.83
At1g51680	-1.35	-0.68	-0.72	-1.93	-3.4	-1.85
At1g53940	-1.25	-0.05	0.07	0.87	0.58	0.85
At1g53990	-0.88	0.1	0.32	0.18	-0.12	-0.3
At1g54220	1.28	0.8	0.65	0.15	0.88	1.72
At1g55020	-0.1	1.77	1.35	1.35	-9.98	-10.15
At1g55810	-1.13	-1.45	-1.7	-1.68	-2.4	-2.05
At1g55920	0.65	-0.57	-3	-4.55	-2.22	-1.32
At1g56190	-1.38	-1.45	-1.37	-2.68	-1.9	-1.8
At1g58290	-0.03	-0.15	0.05	0.85	1.5	-0.6
At1g60140	-1.35	1.25	1.18	-1.1	1.68	0
At1g60440	-0.1	0.25	-1.5	-1.43	-1.73	-1.43
At1g61720	-1.17	0.03	0.58	0	-1.13	0.63
At1g62180	-0.55	0	1.97	3.48	-0.05	1.2
At1g62180	-0.03	0.62	2.32	4.1	1.53	1.45
At1g62430	-0.05	0.17	1.4	1.5	1.9	1.6
At1g62430	1.87	1.95	2.3	1.92	1.7	-0.55
At1g62660	0.6	4.25	2.9	2.6	-1.7	0.08
At1g62800	-1.45	0.55	-0.22	-1.77	-2.58	-1.45
At1g65060	0.2	1.75	1.47	3.25	1.8	-0.6
At1g68000	-0.6	0.55	-0.72	-1.53	-1.53	-1.35
At1g68010	0.1	-0.12	-1.1	-1.15	-2.4	-2.45
At1g68530	-0.62	-0.78	-1.83	-1.65	-1.95	-1.47
At1g70290	0.68	0.75	0.6	-1.3	1.65	-0.65
At1g70310	-0.93	0.55	0	-1.2	-1.35	-1.4
At1g70310	-0.03	0.7	0	-0.03	-0.7	-1.4
At1g70410	0	0.55	-1.1	-1.13	-2.25	-2.1
At1g75330	-1.28	-0.12	-1.25	-1.33	-1.47	-1.43
At1g76680	1.17	1.5	1.33	-1.27	-3.85	-2.65
At1g78510	1.18	0.05	1.35	2	2.12	0.07
At1g78550	1.28	-0.07	-1.12	-1.28	0.07	-1.18
