# This Arabidopsis expression dataset was taken from the functional genomics expression project, 
# Low temperature regulatory circuits and gene regulons in higher plants (Michael Tomashow's group),
# http://arabidopsis.org/info/expression/index.html

# Columns of this dataset are:
# Arabidopsis locus id	time_point_1	time_point_2	time_point_3	time_point_4	# time_point_5	time_point_6	
#
At2g28880	0.05	0.68	0.75	1.25	1.17	-0.53
At2g29690	-2.42	-2.95	-2.85	-0.6	0.15	-2.4
At2g29710	-0.6	1.05	0.1	0	-0.98	0
At2g29710	0.55	1.2	1.48	1.97	0.62	1.65
At2g29730	0.68	0.6	0	-0.55	-1.37	0.12
At2g29740	-0.5	1.72	1.22	0.95	0.68	1.72
At2g29750	-0.12	1.82	0.25	-0.52	-2.88	-0.85
At2g30490	0.12	1.22	1.4	0.25	-1.28	-0.85
At2g30490	0.8	1.35	1	1.6	-0.72	0.65
At2g30550	-1.22	-1.37	-1.58	-1.58	-1.45	-1.3
At2g30970	-1.35	0	-0.55	-0.08	-0.53	0.6
At2g31100	0.03	0.78	0.12	0.75	1.43	0.68
At2g31170	1.3	1.15	-0.58	-0.67	1.08	-1.47
At2g31250	-0.58	0.62	0.65	-0.67	0.68	1.22
At2g31390	-1.03	1.6	0.45	1.47	1.22	1.57
At2g31690	1.35	1.4	0.78	1.35	1.55	1.28
At2g31810	-0.28	-0.6	-0.72	-1.25	-1.7	-1.53
At2g32290	-0.68	0.08	-0.67	-1.55	-1.47	-0.92
At2g32810	-0.37	-0.03	-1.37	-0.85	-2.05	-0.85
At2g33150	-0.65	-0.68	-0.07	-1.25	-0.85	0.03
At2g34850	0.05	-0.03	-0.05	1.02	2.07	1.4
At2g35020	-0.32	-1.17	-1.5	-1.6	-2.88	-3.02
At2g35040	1.13	1.1	-0.05	0.1	0.05	0.03
At2g35370	-0.58	-0.68	-0.6	-1.2	-1.5	-1.9
At2g36190	0.05	0.07	0.2	1.05	1.1	-1.25
At2g36230	0.58	-0.05	-1.18	-1.32	-1.53	-1.47
At2g36460	-1.2	-1.22	-1.5	-1.85	-1.77	-1.13
At2g36580	-1.35	-1.2	-0.03	-0.03	0.03	0.62
At2g37040	0.55	1.52	2.2	2.8	1.6	1.75
At2g37250	1.37	1.45	1.53	2.27	2.53	2.05
At2g37690	-1.15	-1.1	-1.15	-1.25	1.95	1.18
At2g37690	-0.68	1.43	0.78	1.5	3.08	1.85
At2g38050	0.05	0.12	0.58	-0.72	-0.63	-0.17
At2g38240	-0.05	1.3	0.75	1.22	0.67	0.07
At2g39270	-2.2	-1.4	-1.47	-1	-0.62	0.53
At2g39290	-1	-0.57	-0.82	-0.72	-0.12	-0.67
At2g39770	-0.05	0	-0.03	-0.62	1.15	1.35
At2g39930	0.6	-0.62	-1.18	-1.38	-3.45	-2.5
At2g40490	-0.5	-0.55	-0.05	-1.12	-1.22	-1.42
At2g40660	0.05	0.65	-0.53	0.05	-9.8	-1.05
At2g40690	1.22	1.45	1.53	-0.72	0.62	-0.65
At2g40840	0.02	0.57	-0.6	-0.72	-1.3	-1.15
At2g41490	-1.1	-1.33	-1.45	-2.4	-2.38	1.22
At2g41490	-0.75	0.05	-0.1	-0.17	0.72	0.87
At2g41490	0.1	0	-1.28	-1.38	-1.5	1.28
At2g41540	0.85	1.55	1.5	1.3	1.3	0.65
At2g42010	-0.55	-0.1	0.02	0.78	0.02	-0.15
At2g42690	-1.33	-0.6	-1.45	-1.45	-3	-0.9
At2g42690	-1.18	-1.37	-1.5	-1.75	-3.18	-1.95
At2g42790	-1.25	-0.62	-1.35	-1.18	-1.23	0.05
At2g43090	-1.18	-1.15	-1.2	-1.4	-1.1	-1.15
At2g43090	-0.65	-0.65	-0.58	-0.68	0.6	0.55
At2g43100	-0.6	-1.2	-0.73	-1.25	-2.3	-1.88
At2g43360	-0.62	0.05	0	-0.77	-1.22	-0.68
At2g43750	0.2	0.62	0.05	0	-0.78	0.07
At2g44160	-1.12	-0.55	-0.58	-0.03	-1.22	-1.33
At2g44160	-0.62	0.05	-0.62	0	-1.25	-1.2
At2g44530	0	-0.65	-1.22	-1.28	-0.58	-0.05
At2g44800	0.77	-0.83	-0.62	0.85	0.82	0.65
At2g44810	0.6	-0.1	0.72	0.67	-0.08	0.57
At2g45150	0.2	0.65	0.75	-0.03	-0.05	1.55
At2g45290	1.22	1.38	0.8	1.4	-0.02	2.1
At2g45300	-0.8	-0.05	0	-0.03	-0.55	0.53
At2g45300	-0.05	0.72	0.62	0.17	0.78	1.62
At2g45440	-0.05	-0.6	-0.55	-0.6	-1.2	-1.35
At2g45790	-0.7	0.57	-0.5	0.58	-0.58	1.42
At2g45880	-0.77	0.93	0.92	-0.85	-1.48	0.72
At2g46860	-0.55	2.03	1.23	0.35	0.12	1.97
At2g47510	-1.7	-0.08	-1.25	-1.43	-1.65	-0.05
At3g54470	1.15	0.22	1.13	1.4	1.65	1.47
At3g54640	-1.23	-1.5	-1.35	-0.68	-1.67	-0.6
At4g02780	-0.58	-0.05	0.17	-0.05	0.05	-1.3
At4g18480	1.03	-1.18	-1.13	-1.1	1.12	0.05
At4g32210	-0.05	-1.23	-0.6	-1.23	-1.3	-1.1
At5g56760	-0.62	0.6	0.68	1.7	1.7	0.1
