ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YEL047c		1.56	1.96	1.43	1.25	1.59	1.01	
YEL048c		.98	1.02	.66	.66	.52	.3	
YEL049w	PAU2	1.16	1	.81	.76	.86	.88	
YEL050c		.89	1.12	1.04	.69	1.72	1.06	
YEL051w	VMA8	1.25	1.85	1.37	1.16	1.32	.77	
YEL052w	AFG1	.95	1.45	.88	.91	1.59	1.23	
YEL053c	MAK10	1.03	1.25	.72	.48	1.02	.77	
YEL054c	RPL15A	1.06	1.25	.8	.72	.32	.18	
YEL055c		1.3	1.52	.84	.71	.53	.41	
YEL056w		.88	1.27	.87	.64	1.45	.81	
YEL057c		.96	1.12	.82	.51	1.82	1.04	
YEL058w	PCM1	1.08	1.54	.95	.69	1.56	.82	
YEL059w		1.19	.97	.91	.76	.91	.94	
YEL060c	PRB1	.81	1.22	.99	.97	3.23	1.96	
YEL061c	CIN8	1.11	1.04	.84	.95	.88	.68	
YEL062w	NPR2	.91	.96	.75	.63	1.49	.95	
YEL063c	CAN1	1.32	1.37	.89	.86	1.02	1.15	
YEL064c		.92	1.32	1.03	.79	1.33	1.08	
YEL065w		.79	.77	.44	.44	.89	1.2	
YEL066w		1.03	1.11	1.01	1.18	1.54	1.2	
YEL067c		.82	.92	.81	.78	1.06	1.1	
YEL068c		.84	.88	.82	.87	1.14	.83	
YEL069c	HXT13	.87	1.3	.88	.96	1.79	1.82	
YEL070w		.73	1.25	.78	.61	2.78	1.85	
YEL071w		1.49	.99	.59	.46	.65	.62	
YEL072w		.96	1.1	.79	.74	1.06	.84	
YEL073c		1.04	1.08	1.14	.76	1.56	1.72	
YEL074w		1.09	1.06	.83	.74	.56	.95	
YEL075c		1.03	.97	.97	.67	.57	1.16	
YEL076c		1.16	1.22	.96	.77	1	1.2	
YEL077c		1.06	1.22	1	.84	.78	.91	
YER001w	MNN1	1.1	1.52	1.15	.85	1.12	1.19	
YER002w		1	1.03	.52	.56	.3	.35	
YER003c	PMI40	1.32	1.75	.95	.9	.75	.58	
YER004w		1.1	1.33	.95	.97	2.13	1.96	
YER005w		1.11	1.25	.91	.65	1.28	.83	
YER006w		1.09	1.43	.6	.6	.35	.35	
YER007w	PAC2	.78	1.19	.76	.78	1.49	.79	
YER008c	PSL1	1.05	1.06	1	1.11	1.03	.93	
YER009w		1.05	1.3	1.03	1.2	.76	.37	
YER010c		.8	1.28	.83	.92	.88	.63	
YER011w	TIR1	1.04	1.09	.93	.91	1.33	1.04	
YER012w	PRE1	.82	1.22	.83	.9	1.39	.9	
YER013w	PRP22	.93	1.08	.99	.97	1.28	.86	
YER014w	HEM14	.83	1.25	.99	.91	1.82	1.45	
YER015w	FAA2	.87	1.2	.79	.79	1.85	2.5	
YER016w		1.1	1.37	.89	.98	.95	.78	
YER017c	YTA10	.96	.91	.88	.89	1.32	.92	
YER018c		.81	1.06	.62	.79	.79	1.11	
YER0191C		1.11	1.22	1.04	.97	1.08	.58	
YER019w		.98	1.15	.74	.65	1.09	1.06	
YER020w	GPA2	.99	1.54	1.02	.78	2.56	1.56	
YER021W	SUN2	1.09	1.03	.95	.87	1.85	1.23	
YER022w	SRB4	1.12	1.12	1.16	.78	1.47	.93	
YER023w	PRO3	1.14	1.45	1.09	1.12	1.23	.65	
YER024w		.9	1.12	.78	.71	2.17	9.09	
YER025w	GCD11	1.03	1.3	.71	.66	.38	.41	
YER026c	CHO1	1.22	1.96	1.47	1.01	2.04	1.52	
YER027c	GAL83	1.06	1.39	1.04	1.15	.89	.88	
YER028c		.94	1.25	.65	.59	1.52	1.08	
YER029c		1.1	.97	.78	.99	1.33	.88	
YER030w		1.01	1.08	.99	.93	1.67	.97	
YER031c	YPT8	.84	1.39	1.02	1.15	1.22	.81	
YER032w		.84	.98	.83	.83	.94	.56	
YER033c		.93	1.23	1.19	1.32	1.85	1.92	
YER034w		.96	1.08	.85	.81	1.52	1.1	
YER035w		.91	.93	.93	1.56	4.55	2.33	
YER036c		1.25	.8	.52	.45	.22	.22	
YER037w		.99	1.45	1.41	1.28	2.08	1.89	
YER038c		1.23	1.3	.87	.67	1.25	.78	
YER039c		.91	1.22	1.02	1.28	1.85	1.96	
YER040w	GLN3	.95	1.05	.79	.68	1.56	.94	
YER041w		.97	1.23	1.01	1.05	1.02	1.43	
YER042w		.98	1.14	.75	.69	1.08	.6	
YER043c	SAH1	1.32	1.61	.66	.74	.5	.34	
YER0441c		.85	1.15	.61	.77	1.92	.91	
YER044c	MEI4	1.22	1.28	1.15	1.52	3.03	1.37	
YER045c		1.11	1.09	.86	.79	1.12	.9	
YER046w		1.39	1.05	1.03	.71	1.75	1.18	
YER047c		1.04	.91	.67	.84	1.45	1.08	
YER048c	CAJ1	1.43	1.41	1.05	.89	2.13	1.25	
YER049w		1.23	1.04	.71	.56	.5	.33	
YER050c		1.12	1.52	1.19	.81	1.89	1.25	
YER051w		1.06	1.15	1.1	.76	1.3	.99	
YER052c	HOM3	1.22	1.61	.88	.64	.42	.36	
YER053c		1.28	2.04	2.86	3.13	4.55	6.25	
YER054c	GIP2	.86	.92	.74	.75	.72	.78	
YER055c	HIS1	1.33	1.49	1.03	.93	.85	.45	
YER0561c		1.01	1.52	.76	.87	.59	.33	
YER056c	FCY2	1.45	1.61	.81	.89	.34	.28	
YER057c		.9	1.56	1.09	1.15	1.08	.88	
YER058w	PET117	1.25	.83	.81	.89	1.79	.93	
YER059w		.82	1.27	.94	.99	1.61	1.27	
YER060w		1.23	1.28	.68	.75	.43	.31	
YER061c	CEM1	.98	1.61	1.04	1.09	1.85	1.41	
YER062c	HOR2	.98	1.1	.7	.84	.89	.32	
YER063w		.91	1.28	.94	1.06	1.47	.91	
YER064c		1.19	.93	.64	.63	.68	.53	
YER065c	ICL1	1.12	1.45	1.06	.9	1.45	12.5	
YER066w		1.08	1.1	.93	.78	1.37	.93	
YER067w		1.11	1.69	2.04	1.3	9.09	5.88	
YER068w	MOT2	1.18	1.03	.78	.63	1.04	.73	
YER069w	ARG5,6	1.22	1.2	.98	.86	1.18	1.45	
YER070w	RNR1	1.09	1.18	.84	.61	.32	.38	
YER071c		.99	1.39	.94	.69	1.61	1.11	
YER072w		1.06	1.27	.93	.81	.68	.53	
YER073w		1.01	1.05	.63	.64	.71	.56	
YER074w	RP50A	1.03	1.33	.91	.78	.46	.22	
YER075c		.94	.65	.53	.56	.6	.55	
YER076c		.71	1.04	.67	.63	1.16	.86	
YER077c		1.09	1.3	.88	.8	1.27	1.02	
YER078c		.82	.96	.69	.72	1.18	.79	
YER079w		.7	1.19	1.1	1.08	2.56	3.57	
YER080w		.99	1.11	.91	.85	1.25	.84	
YER081w		1.16	1.15	.69	.75	1.49	1.54	
YER082c		.82	1.1	.6	.57	.62	.4	
YER083c		.96	1.59	1	.91	1.52	1.16	
YER084w		.99	.83	.78	.65	1.16	.92	
YER085c		.89	.93	.86	.74	1.2	1.27	
YER086w	ILV1	1.3	1.72	1.08	.85	.52	.31	
YER0871C		.93	1.09	.93	.93	.8	.5	
YER087w		1.15	1.25	.98	.9	1.23	.59	
YER088c		1.25	1.67	1.09	.93	1.37	2.08	
YER089c		1.22	.98	.85	.75	.8	.57	
YER090w	TRP2	1.18	1.18	.74	.67	.7	.68	
YER091c	MET6	1.27	1.41	.93	.76	.69	.73	
YER092w		1.01	1.39	1.37	1.15	1.18	1.41	
YER093c		1.03	1.03	.93	.86	.83	.65	
YER094c	PUP3	1.08	1.35	.99	.9	1.45	1.27	
YER095w	RAD51	1.28	1.39	.77	.68	1.19	1.49	
YER096w	SHC1	1.11	1.45	1.12	.67	1.43	3.45	
YER097w		1.25	.96	.9	.79	.87	1.54	
YER098w	UBP9	.87	1.32	1.1	.85	2.17	2.22	
YER099c	PRPS2	1.03	1.05	.82	.79	1.01	.64	
YER100w	UBC6	.84	1.03	.88	.81	1.2	.81	
YER101c	AST2	1.15	1.09	.79	.73	1.43	1.27	
YER102w	RPS8B	.96	.9	.84	.81	.4	1.01	
YER103w	SSA4	1.05	1.03	.89	1.03	1.96	1.45	
YER104w		1.25	1.43	.96	.97	.78	.56	
YER105c	NUP157	1.04	.96	.88	.98	.68	.62	
YER106w		.78	1.2	.75	.85	1.39	1.39	
YER107c		.89	1.15	1.02	.66	1.08	.57	
YER108c	FLO8	.82	1.37	.91	.75	1.37	1.09	
YER109c	PHD5	.73	.84	1.14	.71	.95	.85	
YER110c		1.06	1.49	.66	.55	.26	.31	
YER111c	SWI4	.96	.97	.9	.81	.72	1.1	
YER112w	USS1	1.08	1.11	.85	.71	1.02	.7	
YER113c		1.19	.92	.77	.72	.63	.5	
YER114c	BEB1	.97	.88	.76	.76	.63	.6	
YER115c	SPR6	1.12	.99	.85	.72	1.82	.61	
YER116c		1.09	1.19	.88	.83	1.37	1.59	
YER117w	RPL17B	1.12	1.16	1.08	.92	.43	.22	
YER118c	SSU81	1.16	1.27	.77	.67	.56	.5	
YER119c		1.15	1	1.23	.91	1.52	.9	
YER120w	SCS2	1.05	.99	.7	.63	.65	.41	
YER121w		1.03	1.06	.85	.87	1.54	1.03	
YER122c	GLO3	1.12	1.15	.83	.85	1.3	.48	
YER123w	CKI3	.88	1.1	1.05	.72	1.06	.65	
YER124c		1.49	1.43	.9	.9	.88	.77	
YER125w	RSP5	.97	1.14	.89	.8	.94	.93	
YER126c		1.1	1.32	.71	.64	.66	.36	
YER127w		.81	1.11	.78	.55	.92	.58	
YER128w		.74	.92	.71	.77	.98	.86	
YER129w	PAK1	.88	1.01	.81	.71	.48	.44	
YER130c		1.16	2.38	1.59	1.18	1.23	.95	
YER131w	RPS26B	1.1	1.39	1.03	.99	.39	.18	
YER132c		.88	.93	.77	.75	.66	.67	
YER133w	GLC7	1.1	1.23	1.12	1.59	1.92	1.23	
YER134c		.97	.97	.79	.83	.76	.86	
YER135c		1.27	1.04	.8	1.14	1.61	1	
YER136w	GDI1	1.14	1.11	.83	.7	.9	.74	
YER137c		1.23	1.04	.91	.83	.78	.77	
YER138c	TY2B	1.11	1.09	.92	.79	.73	.6	
YER139c		.98	1.15	1	.76	1.79	1.01	
YER140w		1.06	1.3	.79	.74	1.2	.94	
YER141w	COX15	1.41	1.69	1.92	1.39	2.63	2.33	
YER142c	MAG1	.94	1.25	.99	.69	2.22	2	
YER143w		1.2	1.01	.78	.84	1.47	1	
YER144c		1.27	1.06	.71	.65	.92	1.02	
YER145c	FTR1	1.06	.75	.64	.47	.37	.41	
YER146w		1.11	1.33	1.01	.98	.88	.69	
YER147c		.83	1.11	.78	.65	1.35	.99	
YER148w	SPT15	1.25	1.37	.94	.93	1.11	.75	
YER149c		.84	1.35	.78	.69	1.19	.64	
YER150w		1.14	2.22	2.86	3.03	11.11	10	
YER151c	UBP3	1.08	.94	.65	.67	.95	.62	
YER152c		.93	1.25	.75	.85	1.27	1.19	
YER153c	PET122	.79	.91	.65	.74	1.41	.86	
YER154w	OXA1	.99	1.12	.79	.68	1	.9	
YER155c	BEM2	1.02	.93	.81	.72	.62	.63	
YER156c		1.03	1.39	.85	.81	.76	.68	
YER157w		1.02	1.23	1	.93	1.09	.6	
YER158c		1.01	1.92	1.67	1.82	2.22	3.57	
YER159c		1.18	1.37	.8	.93	1.28	1.33	
YER160c	TY1B	1.09	1.05	.95	.96	.99	.67	
YER161c	SPT2	1.12	1.23	.71	1.15	1.56	1.01	
YER162c	RAD4	1.1	1.23	.98	.92	1.92	1.92	
YER163c		1.12	1.18	1.05	.71	1.79	.89	
YER164w		.94	.87	.7	.65	.68	.75	
YER165w	PAB1	1.32	1.01	.5	.49	.37	.31	
YER166w		1.09	.93	.88	.88	1.1	.94	
YER167w	BCK2	1.28	1.16	.98	.79	1.15	.87	
YER168c	TNT1	1.12	1.18	.71	.75	.85	.79	
YER169w		1.08	.66	.71	.65	.85	.81	
YER170w	PAK3	1.02	1	.92	.78	1.11	1.11	
YER171w	RAD3	1	1.25	.88	.87	.94	.56	
YER172c	BRR2	1.01	.98	.82	.91	.87	.87	
YER173W		.79	.99	.76	.78	1.43	1.02	
YER174c		1.19	1.16	.67	.85	1.11	1.82	
YER175c		.82	1.08	.93	.86	2.13	2.08	
YER176w		1.03	.96	.7	.88	.68	.8	
YER177w	BMH1	1.22	1.14	1.09	1.22	.77	.48	
YER178w	PDA1	1.45	1.82	1.23	1.25	.95	1.49	
YER179w	DMC1	.46	1.09	.9	.76	1.72	1.3	
YER180c	ISC10	1	1.43	.82	.88	.94	1.03	
YER181c		.67	.9	.83	.63	1.39	1.23	
YER182w		.79	.9	.84	1.22	3.85	2.17	
YER183c		1.28	1.01	.93	.83	.79	.66	
YER184c		1.25	1.33	.99	.77	1.05	1.35	
YER185w		1.33	1.15	.72	.7	1.59	1.06	
YER186c		1.35	1.14	.93	.92	.93	1.25	
YER187w		1.27	1.04	.79	.76	1.11	.82	
YER188w		1.11	1.12	.96	.94	1.72	1.03	
YER189w		1.28	1.32	.97	.83	.84	1.1	
YER190w		1.03	1	.87	.78	.6	.79	
YFL-TyA		1.23	.99	.95	.76	.7	.71	
YFL-TyB		1.08	.99	.85	.93	.88	.62	
YFL001W	DEG1	1.11	.99	.95	.92	.87	.75	
YFL002C	SPB4	1.41	1.11	.7	.72	.57	.69	
YFL003C	MSH4	.69	1.08	.78	.84	1.47	1.14	
YFL004W		1.33	1.37	.96	1.25	.79	.93	
YFL005W	SEC4	1.12	.99	.89	.96	1.43	.93	
YFL006W		1.16	1.08	.66	.82	.57	1.18	
YFL007W		.97	1.03	.86	.79	.63	.77	
YFL008W	SMC1	.94	.93	.75	.83	.62	.71	
YFL009W	CDC4	1.02	1.09	.87	.81	.88	.81	
YFL010BW		.95	.93	.83	1.01	1.85	.99	
YFL010C		1.01	1.09	.89	.9	1.79	1.04	
YFL011W	HXT10	.67	1.25	.78	.72	1.85	1.79	
YFL012W		.72	.87	.64	.75	1.35	1.09	
YFL013C		.89	1.01	.69	.83	1.1	1.05	
YFL014W	HSP12	1.3	1.54	3.03	4.76	12.5	11.11	
YFL015C		1.32	.81	1.01	.68	.84	.88	
YFL016C	MDJ1	1.49	1.05	.89	1.1	1.37	.99	
YFL017C		1.2	1.28	1.1	.94	1.05	.76	
YFL018C	LPD1	1.14	1.37	1.3	1.45	1.64	1.72	
YFL019C		1.37	.93	.97	.88	1	1.25	
YFL020C	PAU5	1.27	1.15	1.06	.93	1.11	.73	
YFL021W	GAT1	1.23	1.2	.75	.71	1.39	1.47	
YFL022C	FRS2	1.05	.82	.59	.53	.47	.35	
YFL023W		1.15	1.33	.7	.75	.61	.51	
YFL024C		1.49	.78	.66	.71	.77	.6	
YFL025C		1.41	1.32	.93	.72	.74	.87	
YFL026W	STE2	1.22	1.61	.96	1.08	.75	.54	
YFL027C		1.14	1.47	.94	.82	1.59	1.03	
YFL028C		.78	1.06	.75	.91	1.22	.76	
YFL029C		1.04	1	1.02	.88	1.03	1.09	
YFL030W		.72	1.14	.83	1.02	2.08	4.76	
YFL031W	HAC1	1.41	1.56	1.37	1.37	1.64	.93	
YFL032W		.73	.85	.76	.92	1.02	.75	
YFL033C		.94	.85	.9	.77	.67	.79	
YFL034W		.68	.87	1.09	.75	1.02	.79	
YFL035C		.75	1.16	.73	.58	1.32	.85	
YFL036W	RPO41	.7	.69	1.12	.87	1.43	.81	
YFL037W	TUB2	1.45	1.45	.82	.83	.63	.41	
YFL038C	YPT1	1.14	1.09	1.19	1.18	2	.88	
YFL039C	ACT1	1.15	1.41	1.28	1.33	1.39	.97	
YFL040W		.74	1.08	.68	.75	1.35	1.16	
YFL041W		1.25	1.56	.94	.81	1.25	1.25	
YFL042C		.69	.97	1.05	.79	1.89	1.54	
YFL043C		1.11	1.15	.97	.73	1.52	1.52	
YFL044C		.73	1.12	.76	.65	1.69	1.16	
YFL045C	SEC53	1.39	2.04	1.16	.87	.62	.41	
YFL046W		.74	1.05	.81	.66	1.47	.9	
YFL047W		1.43	1.37	.92	.88	1.1	.78	
YFL048C	EMP47	.97	1.16	1.03	.88	1.25	.88	
YFL049W		1.27	1.3	.93	.75	1.32	1.05	
YFL050C	ALR2	.76	.88	.63	.59	.95	.76	
YFL051C		.74	1.22	.78	.91	1.72	1.75	
YFL052W		.61	.96	.59	.59	1.61	2.04	
YFL053W		.74	.85	.79	.76	1.59	1.3	
YFL054C		.78	.91	.83	.88	5.56	1.96	
YFL055W		.8	.95	.77	.72	1.56	1.89	
YFL056C		.84	.88	.76	.7	1.56	1.41	
YFL057C		.93	.93	.81	.79	.69	.63	
YFL058W	THI5	.71	.88	.68	.6	1.41	1.16	
YFL059W		.87	.98	.88	.98	1.47	1.49	
YFL060C		1.25	.95	.85	.7	1.27	1.25	
YFL061W		.82	.83	.85	.81	1.01	1.02	
YFL062W		1.27	1.69	1.59	1.56	1.82	1.04	
YFL063W		1.56	1.27	.94	.71	.93	1.2	
YFL064C		1.02	1.12	1.03	.71	.91	1.11	
YFL065C		1.37	1.16	.96	.76	.58	1.16	
YFL066C		1.16	1.39	1.08	.75	.94	1.19	
YFL067W		1.16	1.02	.96	.77	.63	.76	
YFL068W		1.22	1.15	.98	.81	.89	1.04	
YFR001W		1.35	1.37	.65	.6	.81	.54	
YFR002W	NIC96	1.54	1.1	.84	.65	.96	.76	
YFR003C		1.59	1.02	1.01	1.04	2.44	1.27	
YFR004W	MPR1	.87	1.28	.87	.77	1.72	.97	
YFR005C		1.41	1.04	.79	.56	.88	.43	
YFR006W		1.01	.91	1.08	1.08	1.16	.55	
YFR007W		.98	1.12	1	.87	1.39	1.23	
YFR008W		.82	.96	.87	.86	.96	.65	
YFR009W	GCN20	1.47	1.49	1.05	.92	1.06	.59	
YFR010W		.96	1.33	1.05	.94	1.59	1.03	
YFR011C		1.08	1.37	1.23	1.15	1.89	1.92	
YFR012W		.71	.84	1.25	.68	1.37	1.06	
YFR013W		1.15	1.15	.82	.84	1.33	.99	
YFR014C	CMK1	.74	1.14	1.27	1.11	2.22	1.52	
YFR015C	GSY1	1.03	1.33	2.94	2.04	6.67	6.67	
YFR016C		.87	1.19	1.06	1.16	1.85	1.39	
YFR017C		.62	.82	.86	.92	2	2.7	
YFR018C		.74	1.16	.67	.68	1.33	.98	
YFR019W	FAB1	1.41	1	.84	.71	1.05	.95	
YFR020W		.72	1.33	.88	.71	1.47	.94	
YFR021W		1.32	1.32	.74	.7	1.19	1.1	
YFR022W		.81	1.59	.94	.81	1.72	1.52	
YFR023W	PES4	1.18	1.08	.73	.83	1.41	1.35	
YFR024C		.98	1.15	1.02	.99	1.61	.98	
YFR025C	HIS2	1.22	1.09	.91	.62	1.08	.83	
YFR026C		1.08	.99	.86	1.16	1.45	.88	
YFR027W		1.15	1.1	.82	.61	1.15	1.22	
YFR028C	CDC14	.88	.93	.87	.72	.96	.43	
YFR029W		1.27	1.15	.96	.61	1.49	1.45	
YFR030W	MET10	.71	.7	.79	.55	.69	.94	
YFR031BC		1.2	1.69	1	.97	.39	.22	
YFR031C	SMC2	.86	1.03	1.02	.73	1.02	.46	
YFR032C		.84	.95	.82	.83	.69	.6	
YFR033C	QCR6	.93	1.02	1.25	1.54	5.26	3.7	
YFR034C	PHO4	.9	.99	.76	.72	.69	.57	
YFR035C		.91	1.12	1.22	1.06	1.02	.74	
YFR036W	CDC26	.76	.89	.76	.78	.84	.82	
YFR037C		.72	1.18	.94	.78	1.39	.6	
YFR038W		1.11	1.23	.77	.85	.98	.67	
YFR039C		.81	1.32	1.08	1.2	1.75	1.16	
YFR040W	SAP155	.93	1.02	.9	.93	1.27	1.45	
YFR041C		.91	1.35	1.15	.79	1.54	.91	
YFR042W		1.2	1.56	1.33	1.16	1.85	1.06	
YFR043C		1.03	1.03	1.08	.75	1.45	.98	
YFR044C		1.56	2.38	1.64	1.39	1.89	1.33	
YFR045W		1.1	1.02	.9	.8	1.89	1.08	
YFR046C		1.33	1.47	.96	.55	1.72	1.39	
YFR047C		.93	1.72	1.11	1.01	2.38	1.43	
YFR048W		1.25	1.11	.76	.66	1.3	1.19	
YFR049W	YMR31	1.01	1.3	.88	.97	1.59	1.67	
YFR050C	PRE4	1.11	.93	.72	.71	1.67	.96	
YFR051C		.91	.94	.73	.97	.83	.78	
YFR052W	NIN1	1.27	1.08	.88	.83	1.92	1.09	
YFR053C	HXK1	1.25	1.32	2	2.78	5.88	1.3	
YFR054C		.88	1.01	.83	.8	1.25	1.08	
YFR055W		1.09	.96	.56	.54	.66	.21	
YFR056C		1.05	1.25	.7	.66	.93	.86	
YFR057W		.97	1.04	.93	.88	.5	.42	
YGL001C		1.16	1.28	.84	.94	1.02	.58	
YGL002W		.87	1.08	.99	.87	1.59	.85	
YGL003C		.99	1.05	.74	.75	1.37	1.52	
YGL004C		.67	.95	.95	.96	2.44	1.18	
YGL005C		.92	1.3	.79	1.04	1.67	1.37	
YGL006W	PMC1	.95	.94	1.54	1.59	2.63	2.44	
YGL007W		.81	.93	.68	.99	1.25	1.19	
YGL008C	PMA1	1.18	1.09	1	.81	.37	.35	
YGL009C	LEU1	1.43	1.02	.74	.66	.76	.81	
YGL010W		1.08	1.11	.92	.75	1.54	1.27	
YGL011C	SCL1	1.3	1.27	1.06	.86	1.89	.79	
YGL012W	ERG4	1.33	1.64	1.1	.93	.71	.43	
YGL013C	PDR1	1.25	1.02	.68	.58	.75	.78	
YGL014W		1.01	.88	.59	.65	.85	.57	
YGL015C		1.23	1.19	.73	.75	.38	.56	
YGL016W	PDR6	1.23	1.25	.76	.61	.62	.47	
YGL017W	ATE1	1.32	1.35	.92	.74	1.64	1.12	
YGL018C		.87	1.04	.78	.64	1.59	1.01	
YGL019W	CKB1	1.35	1.1	.96	.88	1.41	.91	
YGL020C		.93	1.14	1	.94	1.28	.63	
YGL021W	ALK1	1.04	1.41	1.16	1.11	.8	.76	
YGL022W	STT3	1.12	1.08	1.06	.96	.87	.42	
YGL023C		.65	1.16	.75	.67	1.43	1.27	
YGL024W		.92	.91	.86	.68	.93	.83	
YGL025C	PGD1	.86	.95	.78	.88	1.01	1.02	
YGL026C	TRP5	1.3	1.35	1.02	.88	.81	.53	
YGL027C	CWH41	1.18	1.28	1.18	1.25	.81	.9	
YGL028C		1.1	1.43	.83	.63	.53	.37	
YGL029W		.86	1.01	.69	.79	.28	.4	
YGL030W	RPL32	.9	1.03	.74	.79	.37	.24	
YGL031C	RPL30A	1	1.03	.91	1	.63	.2	
YGL032C	AGA2	1.19	1.75	1.1	1.2	1.85	1.02	
YGL033W		1.41	.92	.68	.68	1.43	1.3	
YGL034C		1.27	1.03	.88	.83	.7	.85	
YGL035C	MIG1	1.39	.91	.65	.74	1.39	1.05	
YGL036W		1.19	.89	.82	.81	1.35	.93	
YGL037C		1.3	1.22	2.22	2.78	7.14	3.57	
YGL038C	OCH1	1.15	1.32	.96	.78	1.27	1.12	
YGL039W		1.37	1.12	.57	.58	.36	.51	
YGL040C	HEM2	1	1.2	1.03	1.1	1.06	.84	
YGL041C		1.05	1.32	.94	.76	1.02	.81	
YGL042C		.99	1.18	.89	.97	.69	.44	
YGL043W	DST1	1.12	1	.92	.78	.85	.7	
YGL044C	RNA15	.89	.96	.8	.8	1.45	.93	
YGL045W		.86	1.03	.85	1.08	2.63	2.5	
YGL046W		.76	1.03	.88	.74	1.79	1.75	
YGL047W		.9	.99	1.1	1.35	3.7	1.64	
YGL048C	SUG1	1.15	1.18	1.03	1.08	1.85	1.16	
YGL049C	TIF4632	.85	1.16	1.08	.94	.97	1.25	
YGL050W		.9	.96	.88	.76	.88	.71	
YGL051W		1.19	1.25	1.01	1.32	2.44	1.59	
YGL052W		.92	1.01	.83	.93	1.01	.78	
YGL053W		1.33	1.54	1.19	1.23	1.64	1.19	
YGL054C		.87	1.27	.91	1.14	1.08	.63	
YGL055W	OLE1	1.82	2.78	1.05	1.06	.63	1.04	
YGL056C		.83	.79	.52	.47	.83	1.04	
YGL057C		1.01	1.09	.8	.77	1.08	1.04	
YGL058W	RAD6	1.06	.96	.78	.77	.67	.54	
YGL059W		.78	1.47	1.16	.75	2.44	2.08	
YGL060W		.78	.97	.72	.57	1.11	.65	
YGL061C		.87	1.01	.89	.6	1.16	1	
YGL062W	PYC1	1.09	.49	.56	.56	.59	3.45	
YGL063W	PUS2	.95	1.32	.87	.74	1.14	.97	
YGL064C		1.64	.74	.73	.63	.93	.73	
YGL065C	ALG2	1.14	1.22	.75	.75	.94	.85	
YGL066W		1.05	.91	.87	.8	.89	.67	
YGL067W		1.25	1.72	.9	.83	.93	.65	
YGL068W		.85	.94	.91	1.19	1.52	.73	
YGL069C		1.22	1.28	1.11	1.28	1.72	1.04	
YGL070C	RPB9	.79	.91	.71	.88	.81	.42	
YGL071W	AFT1	1.01	.96	.93	.82	.77	.87	
YGL072C		.72	.85	.69	.81	.9	.68	
YGL073W	HSF1	.91	1.02	.79	.88	1.01	1.04	
YGL074C		.76	.66	.75	.78	1.08	.78	
YGL075C		.78	1.23	.75	.74	1.52	1.1	
YGL076C	RPL6A	.75	.98	.58	.56	.31	.14	
YGL077C	HNM1	1.27	1.89	1.18	1.1	.95	1	
YGL078C		.84	1.25	.56	.56	.36	.18	
YGL079W		.88	1	.78	.81	.93	.74	
YGL080W		.87	.9	.89	.81	1.16	.7	
YGL081W		.85	1.16	1	.74	1.16	1.27	
YGL082W		.77	1.14	1.16	.92	1.49	.93	
YGL083W	SCY1	1.18	.94	.77	.6	.72	.71	
YGL084C		.95	1.43	1.3	1.23	1.19	1.08	
YGL085W		.86	1.25	.96	.68	1.28	1.01	
YGL086W	MAD1	1.14	.94	.8	.81	.74	.62	
YGL087C		.95	.94	.93	.91	1.61	1.11	
YGL088W		.36	.75	.78	.67	1.02	1.33	
YGL089C	MFAlpha2	.95	1	.78	.71	1	.88	
YGL090W		.75	1.05	.85	.67	1.39	1.32	
YGL091C	NBP35	1.04	1.27	.97	.9	1.49	1.14	
YGL092W	NUP145	.67	.74	.65	.61	.43	.45	
YGL093W		.85	.96	1.02	1.03	1.04	.9	
YGL094C	PAN2	.96	1.01	.96	.78	.7	.76	
YGL095C	VPS45	1.12	1.28	1.06	1.05	1.43	1.3	
YGL096W		.85	.88	1	.86	2.33	1.75	
YGL097W	SRM1	1.02	1	.93	.96	.65	.65	
YGL098W		1.05	.95	1.01	.89	1.61	1.01	
YGL099W		1.1	1.27	.6	.62	.89	.49	
YGL100W	SEH1	1.12	1.25	.88	.82	1.2	.62	
YGL101W		1.19	1.14	1.15	1.19	1.05	.65	
YGL102C		.93	1.12	1	.98	.38	.17	
YGL103W	CYH2	1.14	1.04	.91	.81	.35	.23	
YGL104C		.8	1.3	1.19	.99	1.59	1.16	
YGL105W	G4P1	1.02	1.32	.71	.78	1.03	.45	
YGL106W		.91	.93	.94	.88	1.56	.7	
YGL107C		1.19	1.2	.85	.83	1.43	1.01	
YGL108C		1.25	1.14	1.04	.92	1.79	1.28	
YGL109W		1.03	1.11	.92	.96	1.37	1.14	
YGL110C		1.52	1.19	.81	.74	.95	.61	
YGL111W		1.27	1.52	.83	.96	.65	.5	
YGL112C	TAF60	1.05	1.14	.92	.87	.74	.35	
YGL113W		1.02	.96	.82	.63	1	.69	
YGL114W		.96	1.56	1.05	.84	1.3	.9	
YGL115W	SNF4	.95	1.33	1.11	.85	1.39	.89	
YGL116W	CDC20	.79	1.1	.74	.63	.86	.41	
YGL117W		.86	1.59	1.16	.79	1.49	1.61	
YGL118C		.72	.76	1.14	.68	1.33	.85	
YGL119W	ABC1	1.02	1.32	.98	1.05	1.67	1.3	
YGL120C		1.16	1.3	1.22	.72	.8	.41	
YGL121C		1.19	1.2	1.18	1.43	2.63	2.17	
YGL122C	NAB2	.92	1	.96	.83	.81	.48	
