ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YAR070C		1.33	1	.95	.79	.89	1.01	
YAR071W	PHO11	1.3	1.32	.68	.43	.36	.28	
YAR073W	FUN63	1.39	1.41	.93	.72	.31	.21	
YAR074C		1.32	1.22	.75	.63	.35	.29	
YBL001C		1.41	1.39	1.25	.93	1.75	1.16	
YBL002W	HTB2	1.25	1.08	.94	1	1.03	.67	
YBL003C	HTA2	1.25	1.41	1.32	1.12	1.14	.56	
YBL004W		1.37	1.09	.86	.72	.88	.71	
YBL005W	PDR3	1.18	1.02	.97	.97	.6	.43	
YBL005W-A	TY1A	1.1	1.03	.98	1.03	.64	.66	
YBL005W-B	TY1B	.85	1.04	.75	.59	.88	.56	
YBL006C		.88	1.27	1	1.18	1.08	.93	
YBL007C	SLA1	.93	1.06	1.14	1.22	1.39	.97	
YBL008W	HIR1	.93	1.06	.88	.87	.82	.79	
YBL009W		.8	1.06	.67	.54	1	.44	
YBL010C		.68	1.27	.75	.8	1.3	1.1	
YBL011W	SCT1	.94	1.09	.83	.85	1.15	.72	
YBL012C		1.14	.88	.86	.9	.85	.91	
YBL013W		.57	.97	.58	.59	1.32	.55	
YBL014C	RRN6	1.04	1.01	.65	.7	1.03	.79	
YBL015W	ACH1	1.04	1.01	1.08	1.23	6.67	10	
YBL016W	FUS3	1.19	1.39	.91	.65	1.18	1.45	
YBL017C	PEP1	1.32	.93	1	.85	.95	1.22	
YBL018C		1.06	1.45	.94	.62	.71	.77	
YBL019W		.85	1.33	.83	.57	1.75	1.03	
YBL020W	RFT1	1.08	1.85	.95	.68	.94	1.15	
YBL021C	HAP3	1.18	1.09	.92	.78	.9	.93	
YBL022C	PIM1	1.16	.99	.85	.99	1.05	.98	
YBL023C	MCM2	1.12	1.04	.76	.64	.83	.47	
YBL024W		.95	1.12	.67	.56	.33	.29	
YBL025W	RRN10	.95	1.11	1.03	.58	1.16	.67	
YBL026W	SNP3	1	1.18	1.01	.71	1.14	.75	
YBL027W	RPL19A	1.01	1.32	.89	.83	.46	.18	
YBL028C		1.19	1.64	.8	.75	.74	.48	
YBL029W		.93	1.22	.84	.74	1.16	.88	
YBL030C	AAC2	1.45	1.89	1.32	1.82	1.72	3.45	
YBL031W		.61	1.16	.61	.57	1.27	.95	
YBL032W		1	1.09	1	1.02	.88	1.02	
YBL033C	RIB1	.92	1.01	.93	1.05	2.08	1.79	
YBL034C	STU1	.85	.78	.81	.93	.8	.74	
YBL035C	POL12	.71	1.16	.7	.63	1.16	.69	
YBL036C		.94	1.39	.79	.94	1.23	1.03	
YBL037W		.69	1.06	.78	.69	1.16	.92	
YBL038W	MRPL16	.98	1.09	1.23	1.41	2.94	2.27	
YBL039C	URA7	1.28	1.18	.68	.46	.41	.28	
YBL040C	ERD2	1.12	1.41	1.19	1.02	.84	.63	
YBL041W	PRS3	1.03	1.33	1.12	.74	1.54	.93	
YBL042C		1.25	2.13	1.18	1.56	.94	1.75	
YBL043W		1.05	1	.86	.69	3.85	5	
YBL044W		1.28	.93	.82	.67	.93	.99	
YBL045C	COR1	1	1.61	1.43	1.11	3.23	5.56	
YBL046W		1.16	1.06	.81	.74	1.47	1.02	
YBL047C		1.52	1.03	.93	.77	1.32	1.49	
YBL048W		1.08	.9	.85	.78	5.88	4.55	
YBL049W		1.12	1.14	.9	.56	5.56	6.25	
YBL050W	SEC17	.98	1.18	1.1	1.08	2.94	1.79	
YBL051C		.77	.88	.66	.73	1.09	.51	
YBL052C		1.02	1.01	.85	.81	.71	.6	
YBL053W		.75	.84	.68	.78	1.01	.65	
YBL054W		.99	.88	.34	.42	.58	.36	
YBL055C		.74	1.43	.76	.74	1.25	.85	
