# The data in this file were provided by Tyrell Conway's laboratory at
# OUMCF.  Samples were collected during a classic glucose-lactose
# diauxie experiment.  E. coli cells were grown in minimal medium
# containing 0.05% glucose and 0.15% lactose.  The dataset can be
# approximately divided into growth phases as follows:
# Timepoints 1-5 show logarithmic growth on glucose; time points 6-10
# reflect the diauxic lag phase, when cells shift from growth on
# glucose to growth on lactose; time points 11-14 reflect logarithmic
# growth on lactose; and time points 15-17 were taken during
# stationary phase.  Control values were obtained by averaging data
# from 12 hybridization experiments using samples from the early
# logarithmic growth phase.  A publication describing the results is
# available: Chang et al., Mol Microbiol. 2002 Jul;45(2):289-306.  See
# also http://www.ou.edu/microarray/oumcf/growth_trans.htm.
#
#BNUM	GENE	Timept 1	Timept 2	Timept 3	Timept 4	Timept 5	Timept 6	Timept 7	Timept 8	Timept 9	Timept 10	Timept 11	Timept 12	Timept 13	Timept 14	Timept 15	Timept 16	Timept 17
b0026	ileS	-0.265498406	-0.166846372	0.181321124	-0.070883043	0.008269721	0.012470284	-0.474089819	-1.10014989	-0.760984649	-0.031672302	0.266647652	-0.217436298	0.278101243	-0.110154037	-0.675892011	-0.429309364	-0.829252404
b0027	lspA	-0.154478089	0.028347342	0.102098382	0.103740522	0.004907812	0.131417119	0.104228394	-0.167787801	-0.117674837	-0.027919399	-0.252707532	-0.364857241	-0.249362615	-0.25221267	-0.137767102	-0.170347025	-0.319732134
b0028	fkpB	-0.22803992	-0.104767392	0.081356232	0.206162589	0.254046577	0.102620098	0.031246391	-0.099461924	-0.035756723	0.095065173	0.203708509	-0.041937629	0.184728246	-0.135882562	-0.020047836	0.024168611	-0.161106652
b0029	lytB	-0.343008394	-0.165980241	0.147177768	0.060543372	-0.078219634	-0.141524007	-0.10261794	-0.056699651	-0.073537665	0.129148969	-0.068793865	0.309817822	-0.257946239	-0.169195704	0.037248436	0.287062111	-0.123549438
b0030	yaaF	-0.306544911	-0.427820976	-0.261503276	-0.218357108	-0.213315273	-0.068797204	0.100778465	0.073507817	-0.155147187	-0.220531648	-0.080785646	0.016781799	-0.372964984	-0.149750641	0.17223725	-0.020142957	-0.12167282
b0031	dapB	-0.322391027	-0.224128139	0.18419735	-0.012302153	0.258881285	-0.190162614	-1.080913974	-1.180058637	-1.148468669	-0.454618346	-0.088827774	-0.260153116	-0.048773164	-0.114991805	-0.97988734	-0.896172518	-1.115027413
b0032	carA	-0.278048586	0.06245002	0.371494999	0.50519939	-0.161864793	-0.910860157	-1.058598679	-1.285949781	-2.050575954	-2.182841865	-0.022771251	-0.119016131	0.741437232	-0.481416587	-0.972746914	-1.935624779	-0.832506701
b0033	carB	-0.264760346	-0.112978481	0.217289933	-0.099155979	-0.049706488	0.609236828	-1.757871421	-1.928630229	-2.191635229	-2.032047394	-0.385762332	-0.196449205	0.171821168	-0.761376797	-1.731346972	-1.979715661	-2.143815886
b0034	caiF	-0.407714563	-0.276271804	-0.239491615	-0.377446454	-0.323404192	0.082996292	-0.174791051	-0.432291039	-0.110246736	-0.895414933	-0.951175526	-0.063640287	-0.818439157	-0.503998333	-0.428578267	-1.008041429	-1.63484247
b0035	caiE	-1.416841155	0.719595821	0.941884602	1.051418053	1.015746019	0.719233036	0.758743618	0.942648322	1.154639087	0.771751287	0.817585671	1.655365456	1.997823723	2.316585371	2.162173367	1.308812727	2.098861866
b0036	caiD	-0.726243589	0.261886057	0.187075802	0.471379973	1.566302031	1.805457778	2.025869326	0.556251173	0.98595796	0.296606137	-0.421343967	-0.578484676	-0.157006555	-0.554369469	-0.291443149	-0.379066787	-0.145023951
b0037	caiC	-0.272610509	-0.092156433	0.144105642	0.047736003	0.024431324	0.390481083	0.333112244	-0.16359788	-0.459954893	-0.163798853	0.048770601	-0.392787649	-0.069759129	-0.06329181	-0.268371388	-0.397266468	-0.792329535
b0038	caiB	0.017691754	-0.190484673	-0.063437047	0.022426648	0.1898572	0.324545583	0.615312077	-0.19963194	0.050913694	0.266795877	-0.211726154	-0.278669234	-0.400878529	-0.093917442	0.176030373	0.185510646	-0.11243868
b0039	caiA	0.24667085	-0.000833096	-0.842489449	-1.383359846	0.05718593	-0.763115651	-0.379516447	-0.739058091	-0.550142309	-0.251511774	-0.887742553	-0.074858819	-0.576541848	-0.271739524	-0.614681851	-0.050516501	-0.322720856
