GB_GI	GB_accession	Clone_name
2627913	B61151.1	T20O5
2627948	B61186.1	T21C2
2627949	B61187.1	T21C2
2627953	B61191.1	T21C9
2627954	B61192.1	T21C9
2627967	B61205.1	T21F1
2627969	B61207.1	T21F7
2627970	B61208.1	T21F7
2627984	B61222.1	T21H1
2627985	B61223.1	T21H1
2628020	B61258.1	T21L4
2628119	B61357.1	T22F5
2628127	B61365.1	T22G5
2628128	B61366.1	T22G5
2628136	B61374.1	T22H5
2628270	B61508.1	T17K24
2628271	B61509.1	T17K24
2628278	B61516.1	T17L15
2628279	B61517.1	T17L17
2628280	B61518.1	T17L17
2628284	B61522.1	T17L22
2628285	B61523.1	T17L22
2628292	B61530.1	T17M12
2628295	B61533.1	T17M15
2628296	B61534.1	T17M15
2628318	B61556.1	T17N17
2628341	B61579.1	T17P17
2628372	B61610.1	T18B11
2628373	B61611.1	T18B11
2628376	B61614.1	T18B14
2628377	B61615.1	T18B14
2628391	B61629.1	T18B24
2628431	B61669.1	T18F13
2628443	B61681.1	T18G18
2628451	B61689.1	T18H23
2628475	B61713.1	T18K16
2628483	B61721.1	T18L22
2628510	B61748.1	T18O13
2628511	B61749.1	T18O14
2628512	B61750.1	T18O16
2628513	B61751.1	T18O16
2628529	B61767.1	T18P18
2628543	B61781.1	T19A23
2628544	B61782.1	T19A23
2628566	B61804.1	T19C12
2628606	B61844.1	T19F18
2628644	B61882.1	T19H19
2628660	B61898.1	T19I20
2628661	B61899.1	T19I20
2628689	B61927.1	T19K19
2628690	B61928.1	T19K19
2628691	B61929.1	T19K20
2628692	B61930.1	T19K20
2628695	B61933.1	T19K22
2628696	B61934.1	T19K22
2628697	B61935.1	T19K23
2628698	B61936.1	T19K23
2628699	B61937.1	T19L11
2628700	B61938.1	T19L11
2628731	B61969.1	T19M20
2628732	B61970.1	T19M20
2628788	B62026.1	T20A18
2628794	B62032.1	T20A24
2628814	B62052.1	T20D22
2628818	B62056.1	T20E11
2628819	B62057.1	T20E11
2628846	B62084.1	T20G10
2628847	B62085.1	T20G10
2628850	B62088.1	T20G12
2628851	B62089.1	T20G12
2628854	B62092.1	T20G15
2628855	B62093.1	T20G15
2628863	B62101.1	T20G24
2628886	B62124.1	T20I21
2628887	B62125.1	T20I21
2628894	B62132.1	T20J12
2628895	B62133.1	T20J12
2628901	B62139.1	T20J17
2628902	B62140.1	T20J17
2628918	B62156.1	T20K15
2628941	B62179.1	T20L23
2628942	B62180.1	T20L23
2628947	B62185.1	T20M11
2628948	B62186.1	T20M11
2629002	B62240.1	T20O20
2629003	B62241.1	T20O20
2629005	B62243.1	T20O23
2629010	B62248.1	T20P12
2629028	B62266.1	T21A18
2629029	B62267.1	T21A18
2629030	B62268.1	T21A22
2629043	B62281.1	T21B20
2629060	B62298.1	T21C18
2629071	B62309.1	T21D11
2629072	B62310.1	T21D11
2629075	B62313.1	T21D15
2629087	B62325.1	T21E10
2629088	B62326.1	T21E10
2629097	B62335.1	T21E23
2629098	B62336.1	T21E23
2629122	B62360.1	T21G12
2629134	B62372.1	T21H14
2629146	B62384.1	T21H22
2629153	B62391.1	T21I15
2629172	B62410.1	T21J23
2629173	B62411.1	T21J23
2629174	B62412.1	T21J24
2629175	B62413.1	T21J24
2629187	B62425.1	T21K17
2629188	B62426.1	T21K17
2629196	B62434.1	T21L18
2629211	B62449.1	T21M20
2629226	B62464.1	T21N24
2629228	B62466.1	T21O11
2629230	B62468.1	T21O15
2629236	B62474.1	T21O21
2629244	B62482.1	T21P13
2629280	B62518.1	T22B14
2629299	B62537.1	T22C14
2629326	B62564.1	T22E10
2629327	B62565.1	T22E10
2629380	B62618.1	T22J14
2629383	B62621.1	T22J20
2629384	B62622.1	T22J20
2629400	B62638.1	T22L22
2629457	B62695.1	T18C13
2629486	B62724.1	T20D10
2629495	B62733.1	T20K16
2665971	B67294.1	T23A3
2665972	B67295.1	T23A3
2665974	B67297.1	T23B5
2665978	B67301.1	T23C2
2665993	B67316.1	T23E5
2666012	B67335.1	T23I4
2666019	B67260.1	T23J8
2666020	B67261.1	T23J8
2666022	B67263.1	T23K5
2666023	B67264.1	T23K5
2666026	B67267.1	T23L1
2666027	B67268.1	T23L1
2666046	B67254.1	T23M9
2666047	B67255.1	T23M9
2666091	B68053.1	T24D3
2666092	B68054.1	T24D7
2666093	B68055.1	T24D7
2666106	B67352.1	T24F9
2666107	B67353.1	T24G1
2666109	B67355.1	T24G4
2666115	B67361.1	T24G7
2666144	B67390.1	T24J5
2666145	B67391.1	T24J5
2666168	B67414.1	T24N2
2666211	B67457.1	T25D9
2666218	B67464.1	T25G4
2666256	B67502.1	T24M9
2666294	B67540.1	T23A21
2666302	B67548.1	T23B20
2666322	B67568.1	T23D22
2666333	B67579.1	T23F18
2666348	B67594.1	T23H16
2666376	B67622.1	T23K14
2666382	B67628.1	T23K21
2666383	B67629.1	T23K21
2666429	B67675.1	T23N17
2666432	B67678.1	T23N19
2666433	B67679.1	T23N19
2666468	B67714.1	T24A24
2666479	B67725.1	T24B22
2666481	B67727.1	T24B24
2666512	B67758.1	T24F14
2666516	B67762.1	T24F18
2666517	B67763.1	T24F18
2666522	B67768.1	T24F21
2666530	B67776.1	T24G11
2666571	B67817.1	T24I13
2666584	B67830.1	T24J16
2666585	B67831.1	T24J16
2666592	B67838.1	T24J20
2666593	B67839.1	T24J20
2666600	B67846.1	T24K11
2666603	B67849.1	T24K15
2666607	B67853.1	T24K21
2666616	B67862.1	T24M10
2666637	B67883.1	T24O12
2666639	B67885.1	T24O14
2666648	B67894.1	T24P12
2666661	B67907.1	T25A12
2666674	B67920.1	T25B18
2666726	B67972.1	T25G16
2666732	B67978.1	T25I13
2666739	B67985.1	T25J11
2666752	B67998.1	T23N13
2666758	B68004.1	T24I17
2712873	B73722.1	T25J7
2712876	B73725.1	T25M1
2712883	B73732.1	T25N8
2712884	B73733.1	T25N8
2712890	B73739.1	T25O7
2712891	B73740.1	T25O7
2712916	B73765.1	T26C9
2712917	B73766.1	T26C9
2712924	B73773.1	T26D5
2712932	B73781.1	T26E3
2712935	B73784.1	T26E8
2712936	B73785.1	T26E8
2712956	B73805.1	T27I2
2712965	B73814.1	T27J3
2712966	B73815.1	T27J3
2712969	B73818.1	T27J7
2712976	B73825.1	T27K6
2712977	B73826.1	T27K9
2712988	B73837.1	T24K21
2713011	B73860.1	T25J11
2713051	B73900.1	T25O19
2713052	B73901.1	T25O19
2713104	B73953.1	T26C13
2713105	B73954.1	T26C13
2713108	B73957.1	T26C17
2713128	B73977.1	T26E11
2713148	B73997.1	T27G20
2713165	B74014.1	T27H17
2713166	B74015.1	T27H17
2713171	B74020.1	T27I14
2713172	B74021.1	T27I14
2713175	B74024.1	T27I18
2713184	B74033.1	T27J13
2713191	B74040.1	T27J22
2713214	B74063.1	T27J18
2713215	B74064.1	T27J18
2773409	B76770.1	T26F2
2773410	B76771.1	T26F2
2773432	B76793.1	T26H5
2773433	B76794.1	T26H5
2773460	B76821.1	T26K1
2773461	B76822.1	T26K1
2773474	B76835.1	T27A3
2773480	B76841.1	T27A8
2773481	B76842.1	T27A8
2773520	B76881.1	T27E8
2773521	B76882.1	T27E8
2773551	B76912.1	T28I6
2773552	B76913.1	T28I6
2773556	B76917.1	T28I9
2773557	B76918.1	T28I9
2773572	B76933.1	T28L7
2773592	B76953.1	T28P7
2773593	B76954.1	T28P7
2773610	B76971.1	T29C2
2773617	B76978.1	T29D1
2773618	B76979.1	T29D1
2773623	B76984.1	T29D7
2773639	B77000.1	T29F2
2773640	B77001.1	T29F2
2773658	B77019.1	T29G8
2773687	B77048.1	T29K1
2773688	B77049.1	T29K1
2773714	B77075.1	T29M6
2773715	B77076.1	T29M6
2773738	B77099.1	T29P7
2773739	B77100.1	T29P7
2773751	B77112.1	T30A6
2773754	B77115.1	T30B2
2773761	B77122.1	T30C2
2773763	B77124.1	T30C4
2773766	B77127.1	T30C7
2773772	B77133.1	T30D7
2773788	B77149.1	T31B9
2773794	B77155.1	T31E3
2773833	B77194.1	T31J2
2773834	B77195.1	T31J2
2773843	B77204.1	T31K1
2773844	B77205.1	T31K1
2773845	B77206.1	T31K2
2773852	B77213.1	T31L5
2773861	B77222.1	T31N1
2773874	B77235.1	T31P1
2773880	B77241.1	T31P8
2773896	B77257.1	T32B7
2773897	B77258.1	T32B7
2773898	B77259.1	T32B8
2773899	B77260.1	T32B8
2773928	B77289.1	T32E7
2773945	B77306.1	T32H1
2773951	B77312.1	T32H8
2773954	B77315.1	T32I2
2773960	B77321.1	T32I8
2773967	B77328.1	T32J9
2773969	B77330.1	T27E4
2773974	B77335.1	T28J2
2773985	B77346.1	T30A6
2773988	B77349.1	T30B2
2773995	B77356.1	T30C2
2773997	B77358.1	T30C4
2774000	B77361.1	T30C7
2774007	B77368.1	T30D7
2774028	B77389.1	T30N5
2774030	B77391.1	T30N8
2774038	B77399.1	T30O9
2774060	B77421.1	T31D7
2774063	B77424.1	T31E9
2774072	B77433.1	T31I3
2774076	B77437.1	T31K2
2774102	B77463.1	T26F19
2774103	B77464.1	T26F19
2774106	B77467.1	T26F23
2774121	B77482.1	T26G20
2774122	B77483.1	T26G20
2774199	B77560.1	T27A20
2774200	B77561.1	T27A20
2774205	B77566.1	T27A24
2774206	B77567.1	T27A24
2774212	B77573.1	T27B16
2774213	B77574.1	T27B16
2774254	B77615.1	T27D17
2774260	B77621.1	T27E15
2774265	B77626.1	T27E19
2774278	B77639.1	T28G18
2774293	B77654.1	T28H15
2774294	B77655.1	T28H15
2774301	B77662.1	T28H24
2774302	B77663.1	T28H24
2774357	B77718.1	T28L19
2774362	B77723.1	T28M17
2774363	B77724.1	T28M17
2774368	B77729.1	T28M24
2774389	B77750.1	T28O16
2774390	B77751.1	T28O16
2774406	B77767.1	T28P18
2774410	B77771.1	T29A11
2774411	B77772.1	T29A13
2774432	B77793.1	T29B19
2774433	B77794.1	T29B19
2774441	B77802.1	T29C19
2774515	B77876.1	T29H12
2774534	B77895.1	T29I13
2774535	B77896.1	T29I13
2774536	B77897.1	T29I14
2774537	B77898.1	T29I14
2774540	B77901.1	T29I16
2774541	B77902.1	T29I16
2774549	B77910.1	T29I21
2774550	B77911.1	T29I21
2774558	B77919.1	T29J15
2774587	B77948.1	T29K22
2774588	B77949.1	T29K22
2774609	B77970.1	T29M15
2774612	B77973.1	T29M17
2774613	B77974.1	T29M17
2774633	B77994.1	T29N21
2774634	B77995.1	T29N21
2774648	B78009.1	T29O21
2774649	B78010.1	T29O21
2774654	B78015.1	T29O24
2774655	B78016.1	T29O24
2774662	B78023.1	T29P13
2774663	B78024.1	T29P13
2774669	B78030.1	T29P22
2774698	B78059.1	T30C18
2774699	B78060.1	T30C18
2774702	B78063.1	T30C22
2774703	B78064.1	T30C22
2774711	B78072.1	T30D22
2774720	B78081.1	T30F10
2774780	B78141.1	T31H16
2774786	B78147.1	T31H23
2774827	B78188.1	T31J20
2774828	B78189.1	T31J20
2774829	B78190.1	T31J22
2774830	B78191.1	T31J22
2774839	B78200.1	T31K14
2774840	B78201.1	T31K14
2774849	B78210.1	T31K24
2774850	B78211.1	T31K24
2774858	B78219.1	T31L19
2774864	B78225.1	T31M13
2774865	B78226.1	T31M15
2774880	B78241.1	T31O17
2774883	B78244.1	T31O20
2774885	B78246.1	T31O22
2774909	B78270.1	T32A19
2774910	B78271.1	T32A19
2774913	B78274.1	T32A21
2774914	B78275.1	T32A21
2774930	B78291.1	T32B18
2774931	B78292.1	T32B18
2774977	B78338.1	T32D16
2774978	B78339.1	T32D16
2774984	B78345.1	T32D22
2774985	B78346.1	T32D22
2774990	B78351.1	T32E11
2774991	B78352.1	T32E11
2774995	B78356.1	T32E16
2774996	B78357.1	T32E16
2774997	B78358.1	T32E17
2774998	B78359.1	T32E17
2775011	B78372.1	T32F13
2775014	B78375.1	T32F17
2775024	B78385.1	T32G13
2775029	B78390.1	T32G19
2775057	B78418.1	T32J10
2775062	B78423.1	T26I15
2775085	B78446.1	T29O13
2775114	B78475.1	T30D22
2775143	B78504.1	T30M22
2775144	B78505.1	T30M23
2775154	B78515.1	T30O13
2775187	B78548.1	T31B21
2775219	B78580.1	T31H16
2775224	B78585.1	T31H23
2997869	B95931.1	T18I8
2997875	B95937.1	T18L1
2997934	B96688.1	T30O9
2997947	B96701.1	T31B9
2997954	B96708.1	T31D7
2997957	B96711.1	T31E3
2997964	B96718.1	T31L2
2997965	B96719.1	T31L4
2997966	B96720.1	T31L5
2997967	B96721.1	T31L6
2997968	B96722.1	T31L7
2997969	B96723.1	T31L8
2997970	B96724.1	T31M1
2997971	B96725.1	T31M2
2997973	B96727.1	T31M7
2997974	B96728.1	T31N1
2997975	B96729.1	T31N3
2997976	B96730.1	T31N4
2997977	B96731.1	T31N6
2997978	B96732.1	T31N7
2997979	B96733.1	T31N8
2997980	B96734.1	T31N9
2997987	B96741.1	T31P1
2998009	B96763.1	T32H1
2998019	B96773.1	T32I8
2998024	B96778.1	T32J9
2998045	B96799.1	T32L9
2998054	B96808.1	T32M7
2998055	B96809.1	T32M7
2998082	B96836.1	T32P1
2998083	B96837.1	T32P1
2998086	B96840.1	T32P5
2998121	B96875.1	T33C3
2998122	B96876.1	T33C3
2998150	B96904.1	T33I4
2998151	B96905.1	T33I4
2998152	B96906.1	T33I5
2998153	B96907.1	T33I5
2998154	B96908.1	T33I7
2998155	B96909.1	T33I7
2998159	B96913.1	T33J1
2998160	B96914.1	T33J1
2998173	B96927.1	T33J8
2998174	B96928.1	T33J8
2998175	B96929.1	T33J9
2998182	B96936.1	T33K4
2998183	B96937.1	T33K4
2998184	B96938.1	T33K5
2998185	B96939.1	T33K5
2998193	B96947.1	T33L2
2998195	B96949.1	T33L3
2998197	B96951.1	T33L4
2998199	B96953.1	T33L5
2998201	B96955.1	T33L7
2998203	B96957.1	T33L8
2998205	B96959.1	T33M1
2998207	B96961.1	T33M2
2998209	B96963.1	T33M3
2998211	B96965.1	T33M4
2998215	B96969.1	T33M6
2998217	B96971.1	T33M7
2998219	B96973.1	T33M8
2998221	B96975.1	T33M9
2998223	B96977.1	T33N1
2998225	B96979.1	T33N4
2998227	B96981.1	T33N5
2998228	B96982.1	T33N5
2998229	B96983.1	T33N7
2998231	B96985.1	T33N9
2998233	B96987.1	T33O1
2998237	B96991.1	T33O4
2998240	B96994.1	T33O6
2998245	B96999.1	T33P2
2998661	B96185.1	T18E2
2998667	B96191.1	T18G1
2998672	B96196.1	T18G9
2998697	B96221.1	T23A3
2998698	B96222.1	T23A3
2998699	B96223.1	T23A5
2998700	B96224.1	T23A5
2998705	B96229.1	T23B5
2998706	B96230.1	T23B5
2998711	B96235.1	T23C2
2998729	B96253.1	T23E5
2998763	B96287.1	T24D3
2998764	B96288.1	T24D3
2998803	B96327.1	T25G1
2998804	B96328.1	T25G4
2998805	B96329.1	T25G4
2998843	B96367.1	T25J7
2998844	B96368.1	T25J7
2998849	B96373.1	T30O9
2998855	B96379.1	T32I2
2998860	B96384.1	T32J7
2998862	B96386.1	T32J8
2998913	B96437.1	F22M24
2999032	B96556.1	T30H17
2999033	B96557.1	T30H17
2999043	B96567.1	T30I19
2999044	B96568.1	T30I19
2999055	B96579.1	T30J11
2999097	B96621.1	T30M23
2999108	B96632.1	T30O13
2999170	B97091.1	T31L10
2999171	B97092.1	T31L14
2999172	B97093.1	T31L16
2999173	B97094.1	T31L17
2999174	B97095.1	T31L18
2999175	B97096.1	T31L19
2999176	B97097.1	T31L21
2999177	B97098.1	T31L23
2999178	B97099.1	T31L24
2999179	B97100.1	T31M10
2999180	B97101.1	T31M12
2999181	B97102.1	T31M13
2999182	B97103.1	T31M15
2999183	B97104.1	T31M16
2999184	B97105.1	T31M17
2999185	B97106.1	T31M24
2999186	B97107.1	T31N10
2999187	B97108.1	T31N11
2999188	B97109.1	T31N14
2999189	B97110.1	T31N18
2999190	B97111.1	T31N19
2999199	B97120.1	T31O17
2999212	B97133.1	T32B10
2999213	B97134.1	T32B10
2999214	B97135.1	T32D19
2999217	B97138.1	T32F13
2999220	B97141.1	T32F17
2999230	B97151.1	T32G13
2999235	B97156.1	T32G19
2999260	B97181.1	T32J18
2999261	B97182.1	T32J18
2999265	B97186.1	T32J22
2999277	B97198.1	T32K18
2999282	B97203.1	T32K22
2999288	B97209.1	T32L10
2999292	B97213.1	T32L14
2999295	B97216.1	T32L15
2999296	B97217.1	T32L16
2999318	B97239.1	T32M20
2999349	B97270.1	T32O15
2999350	B97271.1	T32O15
2999351	B97272.1	T32O16
2999352	B97273.1	T32O16
2999376	B97297.1	T32P19
2999379	B97300.1	T32P21
2999436	B97357.1	T33G18
2999474	B97395.1	T33J14
2999475	B97396.1	T33J14
2999498	B97419.1	T33K13
2999499	B97420.1	T33K13
2999500	B97421.1	T33K15
2999502	B97423.1	T33K16
2999503	B97424.1	T33K17
2999505	B97426.1	T33K19
2999507	B97428.1	T33K20
2999509	B97430.1	T33K21
2999510	B97431.1	T33K22
2999512	B97433.1	T33K23
2999513	B97434.1	T33K24
2999514	B97435.1	T33L10
2999516	B97437.1	T33L11
2999521	B97442.1	T33L16
2999524	B97445.1	T33L18
2999526	B97447.1	T33L19
2999528	B97449.1	T33L20
2999530	B97451.1	T33L21
2999532	B97453.1	T33L22
2999534	B97455.1	T33L23
2999535	B97456.1	T33L23
2999536	B97457.1	T33L24
2999539	B97460.1	T33M11
2999541	B97462.1	T33M12
2999543	B97464.1	T33M13
2999544	B97465.1	T33M14
2999546	B97467.1	T33M15
2999547	B97468.1	T33M16
2999550	B97471.1	T33M18
2999551	B97472.1	T33M18
2999553	B97474.1	T33M20
2999555	B97476.1	T33M21
2999557	B97478.1	T33M22
2999558	B97479.1	T33M22
2999559	B97480.1	T33M23
2999560	B97481.1	T33M23
2999561	B97482.1	T33M24
2999563	B97484.1	T33N10
2999565	B97486.1	T33N11
2999567	B97488.1	T33N12
2999569	B97490.1	T33N13
2999571	B97492.1	T33N14
2999573	B97494.1	T33N15
2999575	B97496.1	T33N16
2999577	B97498.1	T33N17
2999578	B97499.1	T33N17
2999579	B97500.1	T33N18
2999581	B97502.1	T33N19
2999583	B97504.1	T33N20
2999585	B97506.1	T33N21
2999589	B97510.1	T33N24
2999592	B97513.1	T33O12
2999593	B97514.1	T33O14
2999597	B97518.1	T33O16
2999598	B97519.1	T33O17
2999599	B97520.1	T33O17
3000277	B98198.1	T17J10
3000297	B98218.1	T18F13
3000307	B98228.1	T18G18
3000348	B98269.1	T23A18
3000349	B98270.1	T23A18
3000354	B98275.1	T23A21
3000355	B98276.1	T23A21
3000356	B98277.1	T23A22
3000357	B98278.1	T23A22
3000372	B98293.1	T23B20
3000402	B98323.1	T23P14
3000403	B98324.1	T23P14
3000408	B98329.1	T23P20
3000427	B98348.1	T24A24
3000428	B98349.1	T24A24
3000435	B98356.1	T24B20
3000436	B98357.1	T24B20
3000437	B98358.1	T24B22
3000438	B98359.1	T24B22
3000441	B98362.1	T24B24
3000446	B98367.1	T24C13
3000477	B98398.1	T24E10
3000478	B98399.1	T24E10
3000484	B98405.1	T24K15
3000489	B98410.1	T24O12
3000507	B98428.1	T25E22
3000508	B98429.1	T25E22
3000537	B98458.1	T25G16
3000538	B98459.1	T25G16
3000539	B98460.1	T25G18
3000540	B98461.1	T25G18
3000541	B98462.1	T25G19
3000542	B98463.1	T25G19
3000555	B98476.1	T25H12
3000556	B98477.1	T25H12
3000568	B98489.1	T25I13
3000569	B98490.1	T25I13
3000581	B98502.1	T25J11
3000582	B98503.1	T25J11
3000601	B98522.1	T32F13
3000602	B98523.1	T32F14
3000603	B98524.1	T32F17
3000605	B98526.1	T32G22
3000611	B98532.1	T32I23
3000613	B98534.1	T32J10
3000619	B98540.1	T32L13
3165673	AQ010900.1	F20M9
3166103	AQ011068.1	F15L24
3644091	AQ225322.1	T25C4
3644098	AQ225329.1	T25D9
3644114	AQ225345.1	T24P12
3644127	AQ225264.1	T25A12
3644141	AQ225278.1	T25B18
3698514	AQ248431.1	T7K12
3698519	AQ248436.1	T7M22
3698520	AQ248437.1	T7N15
3698521	AQ248438.1	T3L7
3698522	AQ248439.1	T8B6
3698524	AQ248441.1	T8F24
3698548	AQ248465.1	T4B20
3698550	AQ248467.1	T4D3
3698551	AQ248468.1	T4D4
3698553	AQ248470.1	T4E7
3698561	AQ248478.1	T4O22
3698562	AQ248479.1	T4P17
3698563	AQ248480.1	T5B24
3698564	AQ248481.1	T5N2
3698566	AQ248483.1	T7D16
3698572	AQ248489.1	T7G6
3698574	AQ248491.1	T10E13
3698580	AQ248497.1	T10K2
3698585	AQ248502.1	T11K3
3698587	AQ248504.1	T12A19
3698588	AQ248505.1	T12D5
3698592	AQ248509.1	T7B12
3698595	AQ248512.1	T5G21
3698596	AQ248513.1	T5G23
3698600	AQ248517.1	T5J7
3698602	AQ248519.1	T5K8
3698605	AQ248522.1	T5N8
3698607	AQ248524.1	T5O6
3698613	AQ248530.1	T5B2
3698625	AQ248542.1	T10D18
3698626	AQ248543.1	T5B10
3698627	AQ248544.1	T5B12
3698628	AQ248545.1	T5B7
3698629	AQ248546.1	T5B8
3698631	AQ248548.1	T5E5
3698633	AQ248550.1	T9G10
3698634	AQ248551.1	T9H14
3698636	AQ248553.1	T9J6
3698646	AQ248563.1	T10D18
3698651	AQ248568.1	T5B8
3698655	AQ248572.1	T9C24
3698662	AQ248579.1	T9L12
3698669	AQ248586.1	T5G23
3698671	AQ248588.1	T5J22
3698672	AQ248589.1	T5J7
3698674	AQ248591.1	T5K8
3698676	AQ248593.1	T5N8
3698677	AQ248594.1	T5O6
3698683	AQ248600.1	T6J23
3698715	AQ248632.1	T29M10
3698717	AQ248634.1	T19F8
3698719	AQ248636.1	T19I10
3698722	AQ248639.1	T20B11
3698723	AQ248640.1	T20L11
3698724	AQ248641.1	T20L17
3698725	AQ248642.1	T20N5
3698734	AQ248651.1	T20P11
3698741	AQ248658.1	T29F9
3698744	AQ248661.1	T4H6
3698746	AQ248663.1	T9H22
3698756	AQ248673.1	T21D3
3698760	AQ248677.1	T30G17
3698763	AQ248680.1	T3D9
3698764	AQ248681.1	T3I19
3698765	AQ248682.1	T3N13
3698766	AQ248683.1	T4G14
3698767	AQ248684.1	T5H8
3698774	AQ248691.1	T14C16
3698781	AQ248698.1	T14I9
3698783	AQ248700.1	T14L15
3698785	AQ248702.1	T14O24
3698793	AQ248710.1	T15F5
3698807	AQ248724.1	T13C18
3698810	AQ248727.1	T13I20
3698811	AQ248728.1	T13J24
3698816	AQ248733.1	T13N9
3698819	AQ248736.1	T13P22
3698826	AQ248743.1	T14L15
3698827	AQ248744.1	T14M11
3698836	AQ248753.1	T15F5
3698837	AQ248754.1	T15I9
3698838	AQ248755.1	T15J15
3698844	AQ248761.1	T12F11
3698845	AQ248762.1	T12G8
3698846	AQ248763.1	T12I22
3698857	AQ248774.1	T13J24
3698859	AQ248776.1	T13L7
3698861	AQ248778.1	T13N9
3698863	AQ248780.1	T13O21
3698864	AQ248781.1	T13P22
3698874	AQ248791.1	T16C8
3698877	AQ248794.1	T16J20
3698881	AQ248798.1	T17B14
3698882	AQ248799.1	T17C16
3698883	AQ248800.1	T17D8
3698885	AQ248802.1	T17F20
3698887	AQ248804.1	T17I20
3698892	AQ248809.1	T15K16
3698900	AQ248817.1	T16J20
3698908	AQ248825.1	T17F20
3698910	AQ248827.1	T17I20
3698934	AQ248851.1	T18J17
3698937	AQ248854.1	T18M15
3698945	AQ248862.1	T19E24
3698946	AQ248863.1	T19F8
3698948	AQ248865.1	T19I10
3698952	AQ248869.1	T19I24
3698955	AQ248872.1	T19M4
3698957	AQ248874.1	T20F16
3698960	AQ248877.1	T20G3
3698964	AQ248881.1	T20K10
3698966	AQ248883.1	T20L17
3698971	AQ248888.1	T21A19
3698974	AQ248891.1	T21G17
3698991	AQ248908.1	T22K5
3698997	AQ248914.1	T22P14
3698998	AQ248915.1	T22P5
3699007	AQ248924.1	T11A17
3699008	AQ248925.1	T14B2
3699011	AQ248928.1	T15F1
3699013	AQ248930.1	T15I24
3699015	AQ248932.1	T32M10
3699016	AQ248933.1	T32N20
3699025	AQ248942.1	T11A17
3699027	AQ248944.1	T14H12
3699029	AQ248946.1	T15F1
3699031	AQ248948.1	T15F4
3699032	AQ248949.1	T15G8
3699033	AQ248950.1	T15I24
3699041	AQ248958.1	T31B17
3699045	AQ248962.1	T31F20
3699048	AQ248965.1	T31I1
3699054	AQ248971.1	T31N15
3699060	AQ248977.1	T32G7
3699062	AQ248979.1	T32I18
3699065	AQ248982.1	T30N12
3699066	AQ248983.1	T30O18
3699067	AQ248984.1	T30O6
3699070	AQ248987.1	T31C18
3699073	AQ248990.1	T31F20
3699075	AQ248992.1	T31G18
3699077	AQ248994.1	T31I1
3699081	AQ248998.1	T31M18
3699085	AQ249002.1	T32A10
3699088	AQ249005.1	T32G7
3699142	AQ249059.1	T1E10
3699143	AQ249060.1	T1E16
3699184	AQ249101.1	T9N20
3699256	AQ249173.1	T1E16
3699282	AQ249199.1	T18D9
3699288	AQ249205.1	T18J17
3699296	AQ249213.1	T18P13
3699301	AQ249218.1	T19D14
3699303	AQ249220.1	T21G17
3699309	AQ249226.1	T21G17
3699325	AQ249242.1	T22K5
3699342	AQ249259.1	T17O15
3699351	AQ249268.1	T18J17
3699363	AQ249280.1	T19D14
3699367	AQ249284.1	T19F8
3699369	AQ249286.1	T19I10
3699373	AQ249290.1	T19I24
3699377	AQ249294.1	T19M4
3699385	AQ249302.1	T20G3
3699392	AQ249309.1	T20L17
3699394	AQ249311.1	T5J7
3699420	AQ249337.1	T22K5
3699428	AQ249345.1	T22P5
3699432	AQ249349.1	T10D18
3699434	AQ249351.1	T10E13
3699451	AQ249368.1	T12A19
3699455	AQ249372.1	T4I14
3699460	AQ249377.1	T5B8
3699469	AQ249386.1	T5J7
3699475	AQ249392.1	T5O5
3699476	AQ249393.1	T5O6
3699500	AQ249417.1	T9C24
3699502	AQ249419.1	T9H14
3699521	AQ249438.1	T5N8
3699524	AQ249441.1	T5O6
3699546	AQ249463.1	T10D18
3699548	AQ249465.1	T10E13
3699569	AQ249486.1	T5B8
3699572	AQ249489.1	T5D6
3699582	AQ249499.1	T9C24
3699585	AQ249502.1	T9H14
3699610	AQ249527.1	T16J20
3699619	AQ249536.1	T17D8
3699621	AQ249538.1	T17F20
3699624	AQ249541.1	T17I20
3699647	AQ249564.1	T13J24
3699656	AQ249573.1	T13P22
3699680	AQ249597.1	T11I10
3699683	AQ249600.1	T3A19
3699685	AQ249602.1	T8J13
3699717	AQ249634.1	T11A8
3699723	AQ249640.1	T1F22
3699725	AQ249642.1	T1P12
3699777	AQ249694.1	T11A8
3699778	AQ249695.1	T11I10
3699780	AQ249697.1	T1P12
3699791	AQ249708.1	T3A19
3699796	AQ249713.1	T8J13
3699816	AQ249733.1	T10P24
3699819	AQ249736.1	T14J6
3699844	AQ249761.1	T1G14
3699853	AQ249770.1	T4J6
3699862	AQ249779.1	F25P27
3699873	AQ249790.1	T12J18
3699887	AQ249804.1	T9P10
3699949	AQ249866.1	T9P10
3699954	AQ249871.1	T11K6
3699964	AQ249881.1	T6O9
3699971	AQ249888.1	T8D11
3699972	AQ249889.1	T8I21
3699977	AQ249894.1	T9H14
3700001	AQ249918.1	T3L9
3700030	AQ249947.1	T6B22
3700054	AQ249971.1	T15E14
3700066	AQ249983.1	T6F8
3700076	AQ249993.1	T11K6
3700087	AQ250004.1	T6O9
3700093	AQ250010.1	T8D11
3700094	AQ250011.1	T8I21
3700098	AQ250015.1	T9H14
3700123	AQ250040.1	T3L9
3700141	AQ250058.1	T18I15
3700143	AQ250060.1	T18P13
3700146	AQ250063.1	T19D14
3700154	AQ250071.1	T30N20
3700207	AQ250124.1	T21D6
