GB_GI	GB_accession	Clone_name
2092329	B11209.1	T5A21
2092360	B11240.1	T13C8
2092361	B11241.1	T14B2
2092402	B11282.1	T4A19
2092467	B11185.1	T13C15
2092471	B11189.1	T18O8
2092505	B11386.1	T1C12
2092507	B11388.1	T22P6
2092534	B11415.1	T13C2
2092537	B11418.1	T19M5
2092541	B11422.1	T8P20
2092542	B11423.1	T8P20
2092625	B11505.1	T11A18
2092626	B11506.1	T11C6
2092642	B11354.1	T25D7
2092709	B11588.1	T21K21
2092710	B11589.1	T22C18
2092762	B11639.1	T15P24
2092780	B11657.1	T10G6
2092781	B11658.1	T10I10
2092789	B11666.1	T19H20
2092791	B11668.1	T22H10
2092838	B11716.1	T11A18
2092849	B11727.1	T28O2
2092850	B11728.1	T8D18
2092867	B11745.1	T23C18
2092885	B11763.1	T10C2
2092888	B11766.1	T22M9
2092890	B11768.1	T24I16
2092924	B11804.1	T8P20
2092965	B11845.1	T10C17
2092967	B11847.1	T15L9
2093035	B11915.1	T15G20
2093063	B11787.1	T10J20
2093121	B12001.1	T15I16
2093124	B12004.1	T18N17
2093125	B12005.1	T1H12
2093136	B12016.1	F2C16
2093144	B12024.1	T16I7
2093177	B12057.1	T26C15
2093182	B12062.1	T3N9
2093184	B12064.1	T6H22
2093203	B12083.1	T19E16
2093234	B12114.1	T1L15
2093237	B11955.1	T27A24
2093239	B11957.1	T6H3
2093251	B12120.1	T17H12
2093275	B12155.1	F4O20
2093280	B12160.1	T13P15
2093309	B12189.1	T12L1
2093361	B12240.1	T26G1
2093457	B12336.1	T5G19
2093490	B12369.1	F10H3
2093496	B12375.1	F10I1
2093528	B12408.1	F12J20
2093591	B12308.1	F16C15
2093686	B12555.1	F22A11
2093806	B12686.1	F27J14
2093924	B12803.1	T10D20
2093935	B12814.1	T11A18
2093941	B12654.1	T11H9
2093947	B12660.1	T12D4
2093955	B12823.1	T12I10
2093956	B12824.1	T12I10
2093958	B12826.1	T12N18
2093973	B12851.1	T13P5
2093978	B12856.1	T14M6
2093985	B12863.1	T15D21
2093990	B12868.1	T15H1
2093993	B12871.1	T15J12
2093994	B12872.1	T15J12
2093995	B12873.1	T15O4
2093998	B12876.1	T16D15
2094001	B12879.1	T16G4
2094002	B12880.1	T16G9
2094004	B12882.1	T16M13
2094005	B12883.1	T16M5
2094015	B12893.1	T17M6
2094017	B12895.1	T17O16
2094034	B12750.1	T19A21
2094039	B12907.1	T19J14
2094040	B12908.1	T19N1
2094041	B12909.1	T19N1
2094046	B12924.1	T1F22
2094068	B12946.1	T21N1
2094076	B12954.1	T22N12
2094079	B12957.1	T23A2
2094081	B12959.1	T23B12
2094086	B12964.1	T23E19
2094088	B12966.1	T23E7
2094116	B12832.1	T25L15
2094121	B12837.1	T26C15
2094122	B12990.1	T26C15
2094140	B13008.1	T27M5
2094149	B13017.1	T28G7
2094168	B13036.1	T2F2
2094174	B13042.1	T30M24
2094192	B13060.1	T3A19
2094194	B13062.1	T3D6
2094195	B13063.1	T3F10
2094196	B12914.1	T3N10
2094227	B13085.1	T5P20
2094230	B13088.1	T6H17
2094235	B13093.1	T6I16
2094238	B13096.1	T6L8
2094248	B13106.1	T8I12
2094249	B13107.1	T8J13
2094254	B13112.1	T9C11
2094263	B13121.1	T8K24
2094265	B13123.1	T8O19
2316127	B19355.1	T17O16
2316129	B18225.1	T24A20
2316151	B18247.1	T32H12
2316164	B18260.1	F27E17
2316172	B18268.1	T16F17
2316173	B18269.1	T17H7
2316174	B18270.1	T17K16
2316181	B18277.1	T1G14
2316194	B18290.1	T9P10
2316223	B18319.1	T9P10
2316234	B18330.1	T14I14
2316236	B18332.1	T14K2
2316238	B18334.1	T15C18
2316242	B18338.1	T15F21
2316246	B18342.1	T16A13
2316255	B18351.1	T17L10
2316256	B18352.1	T17L14
2316257	B18353.1	T17O7
2316267	B18363.1	T1A14
2316270	B18366.1	T1C4
2316275	B18371.1	T1F13
2316276	B18372.1	T1G12
2316282	B18378.1	T31E13
2316283	B18379.1	T32A6
2316284	B18380.1	T3G5
2316286	B18382.1	T7G11
2316299	B18395.1	T16L19
2316304	B18400.1	T1G14
2316305	B18401.1	T24K7
2316307	B18403.1	T26K17
2316310	B18406.1	T3N13
2316312	B18408.1	T7E4
2316318	B18414.1	T9E18
2316319	B18415.1	T13L3
2316335	B18431.1	T15H10
2316337	B18433.1	T15O5
2316341	B18437.1	T16E17
2316362	B18458.1	F14I10
2316401	B18497.1	T27I1
2316402	B18498.1	T30A17
2316425	B18521.1	T1L10
2316426	B18522.1	T1L19
2316427	B18523.1	T1N13
2316428	B18524.1	T1N5
2316430	B18526.1	T1P19
2316444	B18540.1	T3J15
2316445	B18541.1	T3L21
2316447	B18543.1	T4A8
2316464	B18560.1	F13P21
2316467	B18563.1	F14I10
2316476	B18572.1	F15M17
2316531	B18627.1	T14F21
2316574	B18670.1	T29E24
2316624	B18720.1	T12J18
2316634	B18730.1	T27G21
2316638	B18734.1	T4H23
2316639	B18735.1	T4M5
2316689	B18785.1	T7K10
2316786	B18882.1	T18D2
2316789	B18885.1	T18H8
2316801	B18897.1	T20B15
2316818	B18914.1	T21M22
2316819	B18915.1	T21M5
2316823	B18919.1	T23E24
2316831	B18927.1	T24C6
2316839	B18935.1	T25O22
2316841	B18937.1	T26B4
2316843	B18939.1	T26F21
2316844	B18940.1	T26H14
2316845	B18941.1	T26I13
2316858	B18954.1	T12C17
2316859	B18955.1	T14O19
2316870	B18966.1	T30P20
2316873	B18969.1	T3P10
2316895	B18991.1	T15H15
2316905	B19001.1	T30H18
2316909	B19005.1	T30P12
2316911	B19007.1	T31C24
2316922	B19018.1	T26L19
